Localidade,Pais,Modelo,Seed,MAE_wm2,MSE_wm2,RMSE_wm2,R2_wm2,nRMSE_wm2,nRMSE_percentual_wm2
Ford Rouge Electric Vehicle Center,EUA,XGBoost,42,13.671618271743766,350.2135674852122,18.713993894548864,0.941660143102481,0.11663771670688189,11.663771670688188
Ford Rouge Electric Vehicle Center,EUA,MLP,42,12.915889405705357,232.07024995098095,15.23385210480202,0.9613408890194314,0.0949472216442266,9.49472216442266
Ford Rouge Electric Vehicle Center,EUA,MLP,43,11.360787791193166,219.38890466279534,14.811782629474257,0.9634533938966503,0.09231661162205268,9.231661162205269
Ford Rouge Electric Vehicle Center,EUA,MLP,44,12.969907130190348,227.3897946145846,15.079449413509254,0.9621205763870606,0.09398488418343308,9.398488418343307
Ford Rouge Electric Vehicle Center,EUA,RNN,42,41.171863990442745,2272.114741445733,47.66670474708455,0.6215028166312129,0.297089741290367,29.708974129036704
Ford Rouge Electric Vehicle Center,EUA,RNN,43,37.199750452897426,1922.4662477991649,43.84593764306067,0.6797485414620625,0.2732762489063644,27.327624890636443
Ford Rouge Electric Vehicle Center,EUA,RNN,44,69.0817953831061,6068.496418690451,77.90055467511417,-0.01091232755982996,0.48552665340729867,48.55266534072987
Ford Rouge Electric Vehicle Center,EUA,LSTM,42,65.17830317123729,5432.640601298474,73.70644884471422,0.09501085999819991,0.4593862725542641,45.93862725542641
Ford Rouge Electric Vehicle Center,EUA,LSTM,43,69.08209947720958,6066.153752308782,77.88551696117052,-0.010522077626206272,0.48543292864556364,48.54329286455636
Ford Rouge Electric Vehicle Center,EUA,LSTM,44,69.43398334520491,6085.554265679005,78.00996260529168,-0.013753886096347756,0.4862085544080919,48.620855440809194
Ford Rouge Electric Vehicle Center,EUA,VizinhosHistoricos,42,17.253518878175612,448.6470812617819,21.181290830867272,0.9252627283795705,0.13201550739718934,13.201550739718934
