Localidade,Pais,Modelo,Seed,MAE_wm2,MSE_wm2,RMSE_wm2,R2_wm2,nRMSE_wm2,nRMSE_percentual_wm2
Hyundai Metaplant Georgia,EUA,XGBoost,42,9.204263319402907,145.31199379786315,12.054542454936362,0.9516706617486203,0.060775369238717944,6.0775369238717944
Hyundai Metaplant Georgia,EUA,MLP,42,13.118348747947083,271.6615155691922,16.48215749133566,0.9096480549699881,0.0830980695560472,8.30980695560472
Hyundai Metaplant Georgia,EUA,MLP,43,11.020381746077001,175.77006086709466,13.257830171905757,0.9415406085616841,0.06684198317886646,6.684198317886645
Hyundai Metaplant Georgia,EUA,MLP,44,11.806688729510041,188.72599503943968,13.73775800629199,0.9372315924329199,0.06926163464650198,6.926163464650198
Hyundai Metaplant Georgia,EUA,RNN,42,25.117440304895258,974.6312475315754,31.21908466838154,0.6758472442554126,0.15739721396382964,15.739721396382963
Hyundai Metaplant Georgia,EUA,RNN,43,27.281390507612823,1244.5102797495108,35.27761726292623,0.5860881356359326,0.17785911186853343,17.785911186853344
Hyundai Metaplant Georgia,EUA,RNN,44,48.34358315364364,3019.8504688431767,54.95316614029784,-0.004372529499046651,0.2770572981511678,27.70572981511678
Hyundai Metaplant Georgia,EUA,LSTM,42,47.458385085963535,2814.6530764632644,53.05330410505329,0.06387410262978532,0.26747876647928953,26.747876647928955
Hyundai Metaplant Georgia,EUA,LSTM,43,48.41424992634094,3014.7969254089517,54.90716643033905,-0.0026917707150164727,0.27682538148008135,27.682538148008135
Hyundai Metaplant Georgia,EUA,LSTM,44,48.25601466997107,3053.159565923376,55.25540304733444,-0.015450807193565952,0.27858108552770117,27.858108552770116
Hyundai Metaplant Georgia,EUA,VizinhosHistoricos,42,11.465791148857468,203.861499517128,14.27800754717296,0.9321976726828061,0.0719854099744194,7.198540997441941
