Localidade,Pais,Modelo,Seed,MAE_wm2,MSE_wm2,RMSE_wm2,R2_wm2,nRMSE_wm2,nRMSE_percentual_wm2
Lucid AMP 1 Casa Grande,EUA,XGBoost,42,6.53358531022393,67.84259696494622,8.236661760989474,0.9877729650567116,0.03340408806249635,3.3404088062496347
Lucid AMP 1 Casa Grande,EUA,MLP,42,10.60070769701246,150.69520619089687,12.27579757860551,0.9728407278861366,0.04978495357127023,4.978495357127024
Lucid AMP 1 Casa Grande,EUA,MLP,43,6.752197686771638,74.54084539254714,8.63370403665467,0.9865657630737832,0.03501430777598145,3.5014307775981446
Lucid AMP 1 Casa Grande,EUA,MLP,44,9.395765411682762,120.87485829667804,10.99431026925646,0.9782151453175923,0.04458783413446034,4.458783413446034
Lucid AMP 1 Casa Grande,EUA,RNN,42,32.37922509496736,1613.9909138235334,40.17450576949931,0.7091160394159619,0.16292920208859085,16.292920208859087
Lucid AMP 1 Casa Grande,EUA,RNN,43,34.2346636705598,2357.832139216468,48.55751372564773,0.57505612629328,0.19692680258762477,19.692680258762476
Lucid AMP 1 Casa Grande,EUA,RNN,44,67.59045038239017,5698.38160571858,75.48762551384552,-0.02699946833274569,0.30614287237531546,30.614287237531546
Lucid AMP 1 Casa Grande,EUA,LSTM,42,64.09687481535106,5164.033209966191,71.86120796344987,0.06930428180421244,0.2914358011467106,29.143580114671057
Lucid AMP 1 Casa Grande,EUA,LSTM,43,67.58824365941776,5658.171188290751,75.22081619000654,-0.019752484859687947,0.3050608172408405,30.50608172408405
Lucid AMP 1 Casa Grande,EUA,LSTM,44,67.97864978251586,5770.865033413731,75.96620981340145,-0.0400629040337086,0.3080837887989339,30.80837887989339
Lucid AMP 1 Casa Grande,EUA,VizinhosHistoricos,42,11.136503553737478,192.59526951943704,13.877869775993615,0.9652892254177279,0.05628221694288165,5.628221694288165
