Localidade,Pais,Modelo,Seed,MAE_wm2,MSE_wm2,RMSE_wm2,R2_wm2,nRMSE_wm2,nRMSE_percentual_wm2
Tesla Gigafactory Nevada,EUA,XGBoost,42,17.994639425651602,473.0885461155934,21.75059875303651,0.9462599801287969,0.09790732268690365,9.790732268690364
Tesla Gigafactory Nevada,EUA,MLP,42,7.287663785846745,104.72498820918484,10.233522766339304,0.9881038697859365,0.04606479238038819,4.606479238038819
Tesla Gigafactory Nevada,EUA,MLP,43,9.071569500380006,131.61444546514454,11.472333915343667,0.9850493888031987,0.05164113003853066,5.164113003853066
Tesla Gigafactory Nevada,EUA,MLP,44,8.923153048176308,111.34479603943237,10.55200436123073,0.9873518993413717,0.04749839338764881,4.749839338764881
Tesla Gigafactory Nevada,EUA,RNN,42,50.61158994162664,3861.1106516936998,62.137835910930306,0.5614010001919716,0.279704904709715,27.970490470971498
Tesla Gigafactory Nevada,EUA,RNN,43,45.26605574014609,3671.5212431699815,60.59307916891154,0.5829372192889879,0.2727513951290885,27.27513951290885
Tesla Gigafactory Nevada,EUA,RNN,44,86.53814969588659,8950.197285535634,94.60548232283178,-0.01668870219984342,0.42585354044281387,42.58535404428139
Tesla Gigafactory Nevada,EUA,LSTM,42,81.94855059396077,8139.730305856389,90.22045392180416,0.07537548314248055,0.40611493942656773,40.61149394265677
Tesla Gigafactory Nevada,EUA,LSTM,43,86.24311979764938,8850.527846513893,94.07724404187175,-0.005366852035516567,0.4234757486212297,42.34757486212297
Tesla Gigafactory Nevada,EUA,LSTM,44,86.71990593731346,8976.927477401072,94.74664889800098,-0.019725091589957167,0.42648898232579957,42.64889823257996
Tesla Gigafactory Nevada,EUA,VizinhosHistoricos,42,17.96298588017569,439.97395054702633,20.975556024740474,0.9500215994672765,0.094418574659458,9.4418574659458
