Localidade,Pais,Modelo,Seed,MAE_wm2,MSE_wm2,RMSE_wm2,R2_wm2,nRMSE_wm2,nRMSE_percentual_wm2
BMW San Luis Potosi,Mexico,XGBoost,42,18.610379479068936,477.6231694228407,21.854591495217676,0.7636254227635362,0.08818772889065687,8.818772889065688
BMW San Luis Potosi,Mexico,MLP,42,17.970192159306816,515.5629960592734,22.70601233284421,0.7448490922675755,0.09162338542154629,9.162338542154629
BMW San Luis Potosi,Mexico,MLP,43,18.560192917438254,600.9170963146215,24.51361043001666,0.7026075498657762,0.09891741198670051,9.89174119867005
BMW San Luis Potosi,Mexico,MLP,44,23.278200092821947,825.4112783826745,28.729971778313228,0.5915059099631201,0.11593128898229607,11.593128898229606
BMW San Luis Potosi,Mexico,RNN,42,35.807243804608625,1942.0934631505313,44.06918949958725,0.03886253704853526,0.17782815738610422,17.78281573861042
BMW San Luis Potosi,Mexico,RNN,43,30.851474934869174,1613.310119366038,40.16603190963775,0.20157663649928526,0.16207812136116648,16.207812136116647
BMW San Luis Potosi,Mexico,RNN,44,38.225407535204624,2091.674482119111,45.73482788990368,-0.03516475556380394,0.18454934761412736,18.454934761412737
BMW San Luis Potosi,Mexico,LSTM,42,24.86352139223918,841.567307807111,29.0097795201396,0.5835103292009143,0.11706037022287155,11.706037022287155
BMW San Luis Potosi,Mexico,LSTM,43,38.3595991430808,2095.4230006326534,45.775790551695046,-0.03701988851301241,0.1847146402993504,18.47146402993504
BMW San Luis Potosi,Mexico,LSTM,44,38.37272508138076,2094.8626543573396,45.769669589776804,-0.03674257446626439,0.1846899409710507,18.46899409710507
BMW San Luis Potosi,Mexico,VizinhosHistoricos,42,18.551838280544633,592.8961484111318,24.34945889360032,0.7065770980181704,0.09825502709638415,9.825502709638414
