Localidade,Pais,Modelo,Seed,MAE_wm2,MSE_wm2,RMSE_wm2,R2_wm2,nRMSE_wm2,nRMSE_percentual_wm2
Tesla Fremont Factory,EUA,XGBoost,42,9.293840339996697,133.84944547157787,11.569332110004357,0.9850048195835419,0.0524364986612484,5.24364986612484
Tesla Fremont Factory,EUA,MLP,42,9.443173122119946,129.12904112172234,11.363495990306959,0.9855336474364728,0.05150357312048915,5.150357312048915
Tesla Fremont Factory,EUA,MLP,43,9.520014114432582,166.81339027508213,12.915625818173973,0.9813118621878262,0.058538400443896486,5.853840044389648
Tesla Fremont Factory,EUA,MLP,44,9.081524350222749,115.07731824151362,10.72740967062942,0.9871078647894729,0.04862059429914757,4.8620594299147575
Tesla Fremont Factory,EUA,RNN,42,54.677466711421005,4444.8158302764405,66.66945200222094,0.5020463845920288,0.30217065232638624,30.217065232638625
Tesla Fremont Factory,EUA,RNN,43,43.90035465661567,3686.5295425355835,60.71679786134627,0.5869973505967023,0.27519101876405333,27.519101876405333
Tesla Fremont Factory,EUA,RNN,44,86.27249726273548,9071.154892361801,95.24261069690289,-0.016243315146835746,0.4316747916660913,43.16747916660913
Tesla Fremont Factory,EUA,LSTM,42,82.18228391599168,8289.260303188903,91.04537496868747,0.07135249363662066,0.412651364596071,41.2651364596071
Tesla Fremont Factory,EUA,LSTM,43,86.0309464181337,9002.293142113995,94.88041495542689,-0.008528719355116898,0.43003318640033933,43.00331864003393
Tesla Fremont Factory,EUA,LSTM,44,86.4372887121786,9135.79470971811,95.58135126539125,-0.023484926943804885,0.4332100893995439,43.32100893995439
Tesla Fremont Factory,EUA,VizinhosHistoricos,42,17.55206576587557,386.03992822721267,19.647898824739826,0.9567518688528837,0.08905155549376186,8.905155549376186
