data,ghi_real_normalizado,ghi_previsto_mlp_normalizado,ghi_real_wm2,ghi_previsto_mlp_wm2
2024-01-31,0.023622047244094488,0.13504219414084112,42.969086021505376,72.91856870137654
2024-02-29,0.28346456692913385,0.2183424105107823,114.36637931034483,95.64354696721206
2024-03-31,0.36220472440944884,0.39853643468083505,134.98387096774192,144.80194608483467
2024-04-30,0.6141732283464567,0.5832328390621011,204.275,195.18863123703318
2024-05-31,0.7874015748031497,0.7554287168023116,249.9543010752688,242.16507079073415
2024-06-30,0.7795275590551181,0.8842920842419365,248.35,277.3200481958657
2024-07-31,0.8031496062992126,0.8175159308063149,255.46505376344084,259.1029690377354
2024-08-31,0.7086614173228346,0.6660073431596754,228.71236559139783,217.77019090824507
2024-09-30,0.5590551181102362,0.551452372832719,188.0097222222222,186.5186609078632
2024-10-31,0.4094488188976378,0.3307755669598289,146.7271505376344,126.31622884017119
2024-11-30,0.10236220472440945,0.18187819178666043,64.27777777777777,85.69581076558848
2024-12-31,0.031496062992125984,0.0796176839532584,45.26478494623656,57.798310383993666
