data,ghi_real_normalizado,ghi_previsto_lstm_normalizado,ghi_real_wm2,ghi_previsto_lstm_wm2
2024-01-31,0.25196850393700787,0.54218215,183.4516129032258,240.77474338785615
2024-02-29,0.4881889763779528,0.5408799,230.89511494252872,240.51968068405185
2024-03-31,0.8188976377952756,0.55626005,295.6760752688172,243.53210103551868
2024-04-30,0.9291338582677166,0.5864402,316.1097222222222,249.44331461944248
2024-05-31,0.9448818897637795,0.61784,320.3938172043011,255.59341016259566
2024-06-30,0.7165354330708661,0.6297567,274.2277777777778,257.92746505589895
2024-07-31,0.5354330708661418,0.6228413,240.14650537634407,256.5729873024168
2024-08-31,0.6929133858267716,0.60445374,270.51747311827955,252.97152247167725
2024-09-30,0.4094488188976378,0.60304713,214.35277777777776,252.6960178604049
2024-10-31,0.4645669291338583,0.58998716,225.2016129032258,250.13803593846418
2024-11-30,0.4094488188976378,0.58578426,215.38194444444443,249.31483763961063
2024-12-31,0.2677165354330709,0.57257384,187.47311827956986,246.7273894844036
