particao,Modelo,horizonte_h,escopo,versao_previsao,N_localidades,N_previsoes,MAE_macro_wm2,RMSE_macro_wm2,nRMSE_macro,nRMSE_macro_percentual,R2_macro
validacao_2023,Persistência,24,todas_horas,bruta,10,87120,53.03722451790634,121.23951014543402,0.6180651465212954,61.80651465212954,0.8020041536080107
validacao_2023,Persistência,24,todas_horas,pos_processada,10,87120,53.328851010101005,121.27444272880484,0.6182222851054542,61.822228510545415,0.8019187081530588
validacao_2023,Sazonal Ingênuo,24,todas_horas,bruta,10,87120,65.18829201101929,142.56443803142193,0.7229088914577809,72.2908891457781,0.7307675770577122
validacao_2023,Sazonal Ingênuo,24,todas_horas,pos_processada,10,87120,65.46317148760332,142.59252839595223,0.7230356489296497,72.30356489296499,0.7306854813001485
validacao_2023,XGBoost,24,todas_horas,bruta,10,87120,49.214040475417214,96.63373750739436,0.4914464584506348,49.14464584506348,0.8754854648912899
validacao_2023,XGBoost,24,todas_horas,pos_processada,10,87120,49.10412871234118,96.64969892056095,0.491514231800566,49.1514231800566,0.8754590012929041
validacao_2023,LSTM,24,todas_horas,bruta,10,87120,54.25428002993641,100.65744473471217,0.5116313603118332,51.16313603118332,0.8654957395524543
validacao_2023,LSTM,24,todas_horas,pos_processada,10,87120,52.27147708285719,100.34578210115424,0.5101862988493805,51.01862988493804,0.8661810405608827
validacao_2023,TimesNet,24,todas_horas,bruta,10,87120,51.690716327746486,97.1965233729646,0.49417745885394593,49.417745885394595,0.8742790863203818
validacao_2023,TimesNet,24,todas_horas,pos_processada,10,87120,49.03383666377108,97.06699806012372,0.49357162777924357,49.35716277792435,0.874546241652113
validacao_2023,Persistência,24,diurno_elevacao_gt_0,bruta,10,43595,105.78888257139513,171.39193259849839,0.4380988515195331,43.80988515195331,0.6202219590054279
validacao_2023,Persistência,24,diurno_elevacao_gt_0,pos_processada,10,43595,105.78888257139513,171.39193259849839,0.4380988515195331,43.80988515195331,0.6202219590054279
validacao_2023,Sazonal Ingênuo,24,diurno_elevacao_gt_0,bruta,10,43595,130.06877805950097,201.5573800160518,0.5123762085597774,51.23762085597773,0.47952574270920145
validacao_2023,Sazonal Ingênuo,24,diurno_elevacao_gt_0,pos_processada,10,43595,130.06877805950097,201.5573800160518,0.5123762085597774,51.23762085597773,0.47952574270920145
validacao_2023,XGBoost,24,diurno_elevacao_gt_0,bruta,10,43595,97.33843383392065,136.56169660523395,0.34825911072921767,34.82591107292177,0.7607954611899066
validacao_2023,XGBoost,24,diurno_elevacao_gt_0,pos_processada,10,43595,97.33810698524512,136.56167204454317,0.3482590614337729,34.82590614337729,0.7607955271831794
validacao_2023,LSTM,24,diurno_elevacao_gt_0,bruta,10,43595,103.83443942053543,141.83795619229744,0.36162930084512335,36.16293008451233,0.7429665416577789
validacao_2023,LSTM,24,diurno_elevacao_gt_0,pos_processada,10,43595,103.65524575476755,141.78415653327107,0.36151193876006615,36.151193876006616,0.7431317298907254
validacao_2023,TimesNet,24,diurno_elevacao_gt_0,bruta,10,43595,97.2095713377648,137.15241286291177,0.3497213286609233,34.97213286609233,0.7590456659618479
validacao_2023,TimesNet,24,diurno_elevacao_gt_0,pos_processada,10,43595,97.19939760732925,137.1515954194852,0.34971927077201703,34.971927077201705,0.7590485596755909
validacao_2023,Persistência,48,todas_horas,bruta,10,174240,57.13833218549128,128.4445117412074,0.6547990625097111,65.4799062509711,0.7776527208361383
validacao_2023,Persistência,48,todas_horas,pos_processada,10,174240,57.418620867768595,128.47704120313395,0.6549452279080263,65.49452279080263,0.7775687946138753
validacao_2023,Sazonal Ingênuo,48,todas_horas,bruta,10,174240,65.2001836547291,142.56460691765085,0.7228073937945593,72.28073937945592,0.7307475692852512
validacao_2023,Sazonal Ingênuo,48,todas_horas,pos_processada,10,174240,65.4750545224977,142.59273132468178,0.7229342512020065,72.29342512020065,0.7306654675962966
validacao_2023,XGBoost,48,todas_horas,bruta,10,174240,50.68272503861994,99.0112564644387,0.5033229286906721,50.33229286906721,0.8694366717362353
validacao_2023,XGBoost,48,todas_horas,pos_processada,10,174240,50.56641595305061,99.02552747891819,0.5033825397695022,50.33825397695022,0.8694132403445
validacao_2023,LSTM,48,todas_horas,bruta,10,174240,55.33859944122804,103.82573707973458,0.5274136055621493,52.74136055621493,0.8571241811514538
validacao_2023,LSTM,48,todas_horas,pos_processada,10,174240,53.279558574218925,103.5105498341375,0.5259486261134976,52.59486261134977,0.857840009976715
validacao_2023,TimesNet,48,todas_horas,bruta,10,174240,53.77254913481546,99.97838466333124,0.5079789429571863,50.79789429571863,0.8672495700140486
validacao_2023,TimesNet,48,todas_horas,pos_processada,10,174240,51.016501871366,99.84283561153275,0.5073484610333014,50.73484610333015,0.8675341546899968
validacao_2023,Persistência,48,diurno_elevacao_gt_0,bruta,10,87190,113.95319158805728,181.57119336540256,0.46415003394800725,46.41500339480072,0.5737797401691519
validacao_2023,Persistência,48,diurno_elevacao_gt_0,pos_processada,10,87190,113.95319158805728,181.57119336540256,0.46415003394800725,46.41500339480072,0.5737797401691519
validacao_2023,Sazonal Ingênuo,48,diurno_elevacao_gt_0,bruta,10,87190,130.0920578304366,201.55756603816758,0.5123045899629606,51.23045899629606,0.479418067483805
validacao_2023,Sazonal Ingênuo,48,diurno_elevacao_gt_0,pos_processada,10,87190,130.0920578304366,201.55756603816758,0.5123045899629606,51.23045899629606,0.479418067483805
validacao_2023,XGBoost,48,diurno_elevacao_gt_0,bruta,10,87190,100.25793959973934,139.9205791105522,0.35667892058431516,35.66789205843152,0.7491020909775802
validacao_2023,XGBoost,48,diurno_elevacao_gt_0,pos_processada,10,87190,100.2577730188576,139.9205669119678,0.3566788961027329,35.66788961027329,0.7491021249618333
validacao_2023,LSTM,48,diurno_elevacao_gt_0,bruta,10,87190,105.8172758460936,146.30115540150604,0.3727877602495181,37.27877602495181,0.7268072899885927
validacao_2023,LSTM,48,diurno_elevacao_gt_0,pos_processada,10,87190,105.6664835003593,146.25813074585625,0.37269412530454965,37.26941253045497,0.7269441647521808
validacao_2023,TimesNet,48,diurno_elevacao_gt_0,bruta,10,87190,101.16723328067772,141.0768369057526,0.3594939720936472,35.94939720936472,0.7454182845995512
validacao_2023,TimesNet,48,diurno_elevacao_gt_0,pos_processada,10,87190,101.15957779434962,141.07624617862365,0.35949253167866674,35.94925316786667,0.7454203022354933
validacao_2023,Persistência,72,todas_horas,bruta,10,261360,59.21744719926538,131.9051781620306,0.6719707069119186,67.19707069119185,0.7660579781034561
validacao_2023,Persistência,72,todas_horas,pos_processada,10,261360,59.48960055096419,131.93643541489638,0.6721110792431125,67.21110792431125,0.765975219331559
validacao_2023,Sazonal Ingênuo,72,todas_horas,bruta,10,261360,65.19387817569637,142.5524811915315,0.7226970545357962,72.26970545357963,0.730767705074636
validacao_2023,Sazonal Ingênuo,72,todas_horas,pos_processada,10,261360,65.46876530456076,142.5806255548252,0.7228239588499518,72.28239588499518,0.7306856145402167
validacao_2023,XGBoost,72,todas_horas,bruta,10,261360,51.35457841658814,100.03256413919829,0.5082318087781684,50.82318087781683,0.8669958103530216
validacao_2023,XGBoost,72,todas_horas,pos_processada,10,261360,51.23164779588872,100.04551379324383,0.5082849729089142,50.82849729089142,0.8669751001346248
validacao_2023,LSTM,72,todas_horas,bruta,10,261360,56.13476134801298,104.90863699121442,0.5326755204745306,53.26755204745306,0.8543491109439897
validacao_2023,LSTM,72,todas_horas,pos_processada,10,261360,54.17284248700546,104.6064697871775,0.5312707596061739,53.127075960617375,0.8550420323652599
validacao_2023,TimesNet,72,todas_horas,bruta,10,261360,54.263009159812974,101.18832533446134,0.5138595357375811,51.385953573758115,0.8642735472920066
validacao_2023,TimesNet,72,todas_horas,pos_processada,10,261360,51.57639985507846,101.05870558904535,0.513254811449161,51.325481144916104,0.8645508912057963
validacao_2023,Persistência,72,diurno_elevacao_gt_0,bruta,10,130785,118.08883307415519,186.4605032783466,0.47632663183655205,47.632663183655204,0.5512727266089585
validacao_2023,Persistência,72,diurno_elevacao_gt_0,pos_processada,10,130785,118.08883307415519,186.4605032783466,0.47632663183655205,47.632663183655204,0.5512727266089585
validacao_2023,Sazonal Ingênuo,72,diurno_elevacao_gt_0,bruta,10,130785,130.0793344511997,201.54041073058085,0.5122265848477523,51.22265848477523,0.4794339931640498
validacao_2023,Sazonal Ingênuo,72,diurno_elevacao_gt_0,pos_processada,10,130785,130.0793344511997,201.54041073058085,0.5122265848477523,51.22265848477523,0.4794339931640498
validacao_2023,XGBoost,72,diurno_elevacao_gt_0,bruta,10,130785,101.58673532785329,141.36292312743257,0.36015661930889253,36.01566193088925,0.7442741866967754
validacao_2023,XGBoost,72,diurno_elevacao_gt_0,pos_processada,10,130785,101.58662427393213,141.36291514302076,0.36015660328711674,36.015660328711675,0.744274209350361
validacao_2023,LSTM,72,diurno_elevacao_gt_0,bruta,10,130785,107.59459664812361,147.84862164669727,0.3765598119341124,37.65598119341124,0.7213181424205554
validacao_2023,LSTM,72,diurno_elevacao_gt_0,pos_processada,10,130785,107.44980050512697,147.80727948390125,0.3764701011322144,37.64701011322144,0.7214511183915684
