ajuste,localidade,localidade_id,inicio_local_inclusivo,fim_local_exclusivo,N_horas_ajuste,minimo_treino_wm2,maximo_treino_wm2,amplitude_real_wm2,amplitude_escala_wm2
treino_para_validacao,BMW San Luis Potosi,0,2019-01-01T00:00:00,2023-01-01T00:00:00,35064,0.0,1136.5,1136.5,1136.5
treino_para_validacao,BYD Camacari,1,2019-01-01T00:00:00,2023-01-01T00:00:00,35064,0.0,1087.5,1087.5,1087.5
refit_para_teste,BMW San Luis Potosi,0,2019-01-01T00:00:00,2024-01-01T00:00:00,43824,0.0,1136.5,1136.5,1136.5
refit_para_teste,BYD Camacari,1,2019-01-01T00:00:00,2024-01-01T00:00:00,43824,0.0,1087.5,1087.5,1087.5
