data,ghi_real_normalizado,ghi_previsto_lstm_normalizado,ghi_real_wm2,ghi_previsto_lstm_wm2
2023-10-26,0.1968503937007874,0.2561636,76.83333333333333,99.09377018610637
2023-10-27,0.3779527559055118,0.24875352,145.375,96.32610558966796
2023-10-28,0.2125984251968504,0.28662735,83.66666666666667,110.47198272744815
2023-10-29,0.05511811023622047,0.29111272,23.75,112.14726794759433
2023-10-30,0.16535433070866143,0.244908,66.0,94.88980653385322
2023-10-31,0.1732283464566929,0.22381383,66.70833333333333,87.01113284627597
2023-11-01,0.3464566929133858,0.19011532,131.625,74.42473782847325
2023-11-02,0.2125984251968504,0.24853471,81.54166666666667,96.2443805585305
2023-11-03,0.2047244094488189,0.25347665,80.20833333333333,98.09019526342551
2023-11-04,0.10236220472440945,0.23240708,41.125,90.22071035454671
2023-11-05,0.2440944881889764,0.1897779,96.04166666666669,74.29871075103681
2023-11-06,0.16535433070866143,0.21009648,65.5,81.88770137230556
2023-11-07,0.18110236220472442,0.20235923,70.41666666666667,78.99783882002036
2023-11-08,0.007874015748031496,0.21542355,7.708333333333333,83.87736415366332
2023-11-09,0.33070866141732286,0.16286391,125.875,64.24633712569873
2023-11-10,0.2283464566929134,0.20281176,87.54166666666667,79.1668600315849
2023-11-11,0.28346456692913385,0.20178634,108.375,78.78386438886325
2023-11-12,0.31496062992125984,0.23917821,120.29166666666669,92.74972828725974
2023-11-13,0.33858267716535434,0.24333476,130.04166666666666,94.30219777176778
2023-11-14,0.33858267716535434,0.26648507,128.58333333333334,102.94883852700393
2023-11-15,0.29133858267716534,0.27266353,113.625,105.25649649898212
2023-11-16,0.25984251968503935,0.2882871,99.70833333333331,111.09189970294635
2023-11-17,0.031496062992125984,0.27427423,16.083333333333332,105.85809157292049
2023-11-18,0.31496062992125984,0.2202035,122.45833333333331,85.66267539809148
2023-11-19,0.31496062992125984,0.24674076,121.125,95.57433993617694
2023-11-20,0.12598425196850394,0.2647857,50.708333333333336,102.31412823001544
2023-11-21,0.015748031496062992,0.24326077,9.333333333333334,94.27456464866798
2023-11-22,0.08661417322834646,0.18856046,35.958333333333336,73.8439969966809
2023-11-23,0.1889763779527559,0.15993582,74.45833333333333,63.152694361905255
2023-11-24,0.2992125984251969,0.15429221,116.58333333333331,61.04480745146672
2023-11-25,0.2204724409448819,0.22031645,85.20833333333333,85.70486252258222
2023-11-26,0.03937007874015748,0.2242061,18.125,87.15764683733384
2023-11-27,0.05511811023622047,0.17535557,23.625,68.91197151194017
2023-11-28,0.2755905511811024,0.14192969,106.95833333333331,56.42740441362063
2023-11-29,0.2047244094488189,0.17289957,80.125,67.99465757111709
2023-11-30,0.2283464566929134,0.19906633,88.75,77.767939435939
2023-12-01,0.023622047244094488,0.220744,10.791666666666666,85.86455025027196
2023-12-02,0.031496062992125984,0.17104495,14.875,67.3019538919131
2023-12-03,0.015748031496062992,0.13671899,8.208333333333334,54.48120884100596
2023-12-04,0.06299212598425197,0.1167951,25.95833333333333,47.03963661814729
2023-12-05,0.06299212598425197,0.1350503,26.75,53.85795251528422
2023-12-06,0.14960629921259844,0.12787065,58.79166666666666,51.17635410527388
2023-12-07,0.2204724409448819,0.14291328,86.375,56.794777462879814
2023-12-08,0.12598425196850394,0.14988767,50.25,59.39970995734135
2023-12-09,0.07086614173228346,0.15535918,31.0,61.443319941560425
2023-12-10,0.05511811023622047,0.14218403,24.08333333333333,56.52240336189667
2023-12-11,0.07086614173228346,0.12863016,29.83333333333333,51.46003190676371
2023-12-12,0.25196850393700787,0.1232107,98.83333333333331,49.43586250642935
2023-12-13,0.2204724409448819,0.15750246,85.0,62.24383454273144
2023-12-14,0.2047244094488189,0.1780563,79.20833333333333,69.92069459954898
2023-12-15,0.23622047244094488,0.17941554,91.0,70.42837044845025
2023-12-16,0.11023622047244094,0.17976156,43.625,70.557608867685
2023-12-17,0.007874015748031496,0.16235876,6.791666666666667,64.05766383806865
2023-12-18,0.05511811023622047,0.13837314,23.291666666666668,55.09903315703074
2023-12-19,0.1968503937007874,0.13177532,76.04166666666667,52.634748528401055
2023-12-20,0.1968503937007874,0.14315346,77.5,56.884483541051544
2023-12-21,0.15748031496062992,0.15988989,63.41666666666666,63.135541232923664
2023-12-22,0.023622047244094488,0.16639106,12.0,65.56372748563687
2023-12-23,0.031496062992125984,0.13375576,16.541666666666668,53.37444243083397
2023-12-24,0.023622047244094488,0.11185521,13.541666666666666,45.19458718101183
2023-12-25,0.12598425196850394,0.1025367,50.708333333333336,41.71412436539928
2023-12-26,0.047244094488188976,0.12233509,21.625,49.10882324228684
2023-12-27,0.023622047244094488,0.11869415,12.333333333333334,47.74893130237857
2023-12-28,0.015748031496062992,0.110890895,8.958333333333334,44.834415997068085
2023-12-29,0.031496062992125984,0.0933871,14.166666666666666,38.296747441093125
2023-12-30,0.03937007874015748,0.09242722,19.45833333333333,37.93823201830188
2023-12-31,0.015748031496062992,0.09280173,8.458333333333334,38.07811183358232
2024-01-01,0.05511811023622047,0.09650458,25.0,39.461125990996756
2024-01-02,0.11811023622047244,0.094692215,47.29166666666666,38.78420908997456
2024-01-03,0.031496062992125984,0.10334825,14.375,42.01723718519012
2024-01-04,0.25984251968503935,0.10170278,101.625,41.40265482167403
2024-01-05,0.07874015748031496,0.13197877,33.291666666666664,52.710735442737736
2024-01-06,0.05511811023622047,0.12504368,24.0,50.12047939250866
2024-01-07,0.11023622047244094,0.120411634,45.083333333333336,48.39041213194529
2024-01-08,0.12598425196850394,0.11428248,51.79166666666666,46.101173459241785
2024-01-09,0.015748031496062992,0.12392566,8.5,49.70290199543039
2024-01-10,0.08661417322834646,0.110708,36.625,44.76610402266184
2024-01-11,0.047244094488188976,0.12242069,20.25,49.14079473788539
2024-01-12,0.047244094488188976,0.10291134,20.291666666666668,41.85405148814122
2024-01-13,0.10236220472440945,0.1019504,40.5,41.495140908906855
2024-01-14,0.23622047244094488,0.10789655,91.04166666666669,43.716028648118176
2024-01-15,0.16535433070866143,0.13185865,64.45833333333333,52.66587127248446
2024-01-16,0.2204724409448819,0.13509095,85.41666666666667,53.87313542763392
2024-01-17,0.2125984251968504,0.1542367,83.25,61.02407565216223
2024-01-18,0.14173228346456693,0.15556906,54.958333333333336,61.521711188058056
2024-01-19,0.08661417322834646,0.15129401,35.416666666666664,59.92497861633698
2024-01-20,0.14173228346456693,0.13931419,55.54166666666666,55.450516464809574
2024-01-21,0.1732283464566929,0.14334664,68.79166666666667,56.95663576821486
2024-01-22,0.06299212598425197,0.14462407,27.541666666666668,57.43375656257073
2024-01-23,0.047244094488188976,0.13841079,22.375,55.113097387055554
2024-01-24,0.03937007874015748,0.12513064,18.166666666666668,50.15296013901631
2024-01-25,0.09448818897637795,0.107975855,40.16666666666666,43.74564868460099
2024-01-26,0.11023622047244094,0.109196536,44.04166666666666,44.20157295341293
2024-01-27,0.13385826771653545,0.11875085,53.458333333333336,47.77010834837953
2024-01-28,0.047244094488188976,0.12885669,20.45833333333333,51.544639910260834
2024-01-29,0.05511811023622047,0.11480621,22.75,46.296787029753126
2024-01-30,0.07086614173228346,0.10919303,28.70833333333333,44.20026225845019
2024-01-31,0.11811023622047244,0.10576171,46.875,42.9186641673247
2024-02-01,0.11811023622047244,0.117272,48.083333333333336,47.21775755907098
2024-02-02,0.25196850393700787,0.12374988,96.08333333333331,49.637247587243714
2024-02-03,0.18110236220472442,0.1510411,71.04166666666667,59.83051952968041
2024-02-04,0.3779527559055118,0.15057021,145.5,59.654641518990196
2024-02-05,0.2047244094488189,0.19692108,78.5,76.9666901777188
2024-02-06,0.36220472440944884,0.19137958,138.91666666666666,74.8969386468331
2024-02-07,0.29133858267716534,0.22818236,112.875,88.64277832458417
2024-02-08,0.2992125984251969,0.22588518,116.08333333333331,87.7847823748986
2024-02-09,0.2440944881889764,0.2464323,93.95833333333331,95.45913235346477
2024-02-10,0.3700787401574803,0.23071736,142.375,89.58960099021594
2024-02-11,0.28346456692913385,0.26842874,109.875,103.67480213443439
