data,ghi_real_normalizado,ghi_previsto_xgboost_normalizado,ghi_real_wm2,ghi_previsto_xgboost_wm2
2023-10-26,0.1968503937007874,0.22898567,76.83333333333333,88.94281337658565
2023-10-27,0.3779527559055118,0.30221918,145.375,116.29553123811881
2023-10-28,0.2125984251968504,0.32612056,83.66666666666667,125.22269410888354
2023-10-29,0.05511811023622047,0.26619714,23.75,102.84130031863849
2023-10-30,0.16535433070866143,0.25676027,66.0,99.3166272888581
2023-10-31,0.1732283464566929,0.2059808,66.70833333333333,80.3504927183191
2023-11-01,0.3464566929133858,0.17527018,131.625,68.88008071730535
2023-11-02,0.2125984251968504,0.28842536,81.54166666666667,111.14353718856971
2023-11-03,0.2047244094488189,0.19377556,80.20833333333333,75.79183998207252
2023-11-04,0.10236220472440945,0.14378896,41.125,57.12184455494086
2023-11-05,0.2440944881889764,0.15443924,96.04166666666669,61.09972306589285
2023-11-06,0.16535433070866143,0.23930997,65.5,92.79893917838733
2023-11-07,0.18110236220472442,0.19150597,70.41666666666667,74.94414592782657
2023-11-08,0.007874015748031496,0.19070439,7.708333333333333,74.64475648353498
2023-11-09,0.33070866141732286,0.14809169,125.875,58.728912415603794
2023-11-10,0.2283464566929134,0.2553283,87.54166666666667,98.78178582588832
2023-11-11,0.28346456692913385,0.15592378,108.375,61.654199908177056
2023-11-12,0.31496062992125984,0.20518619,120.29166666666669,80.05370796720187
2023-11-13,0.33858267716535434,0.24406847,130.04166666666666,94.5762415478627
2023-11-14,0.33858267716535434,0.2900445,128.58333333333334,111.74828238288562
2023-11-15,0.29133858267716534,0.30606076,113.625,117.7303609798352
2023-11-16,0.25984251968503935,0.24108925,99.70833333333331,93.46350326637427
2023-11-17,0.031496062992125984,0.22601528,16.083333333333332,87.83337548623483
2023-11-18,0.31496062992125984,0.22733697,122.45833333333331,88.32702606419723
2023-11-19,0.31496062992125984,0.29695877,121.125,114.33076887826125
2023-11-20,0.12598425196850394,0.23178563,50.708333333333336,89.98859768609206
2023-11-21,0.015748031496062992,0.23098236,9.333333333333334,89.6885793308417
2023-11-22,0.08661417322834646,0.14121272,35.958333333333336,56.15961635361115
2023-11-23,0.1889763779527559,0.17508669,74.45833333333333,68.81154611955087
2023-11-24,0.2992125984251969,0.15480366,116.58333333333331,61.235834981004395
2023-11-25,0.2204724409448819,0.21562669,85.20833333333333,83.95323419074218
2023-11-26,0.03937007874015748,0.16312185,18.125,64.3426773796479
2023-11-27,0.05511811023622047,0.1638097,23.625,64.59959028909604
2023-11-28,0.2755905511811024,0.14516133,106.95833333333331,57.63442368308703
2023-11-29,0.2047244094488189,0.19776821,80.125,77.28309361139934
2023-11-30,0.2283464566929134,0.16481715,88.75,64.97587383786838
2023-12-01,0.023622047244094488,0.16082157,10.791666666666666,63.48352378855149
2023-12-02,0.031496062992125984,0.14645515,14.875,58.11766661951939
2023-12-03,0.015748031496062992,0.1152333,8.208333333333334,46.45630500713984
2023-12-04,0.06299212598425197,0.12403845,25.95833333333333,49.74502789850036
2023-12-05,0.06299212598425197,0.13973059,26.75,55.6060411358873
