data,ghi_real,ghi_real_normalizado,ghi_real_wm2,ghi_previsto_dilatedrnn_normalizado,ghi_previsto_dilatedrnn_wm2,ghi_previsto_deepar_exp_normalizado,ghi_previsto_deepar_exp_wm2,ghi_previsto_deepnpts_aprox_normalizado,ghi_previsto_deepnpts_aprox_wm2
2024-01-31,0.25196850393700787,0.25196850393700787,183.4516129032258,0.240591,181.70382116588775,0.57134897,246.48748017631232,0.42386106,217.59987197043273
2024-02-29,0.4881889763779528,0.4881889763779528,230.89511494252872,0.41923437,216.69366855330526,0.56750286,245.7341649489057,0.5207646,236.5798094730864
2024-03-31,0.8188976377952756,0.8188976377952756,295.6760752688172,0.7146486,274.5547561531746,0.5742686,247.05932823656707,0.6102061,254.098208963871
2024-04-30,0.9291338582677166,0.9291338582677166,316.1097222222222,0.91381204,313.5637528116024,0.58634764,249.42518424691372,0.8858698,308.09086695914306
2024-05-31,0.9448818897637795,0.9448818897637795,320.3938172043011,0.9033217,311.5090667622224,0.60083413,252.26257003603445,0.9188179,314.5442172072587
2024-06-30,0.7165354330708661,0.7165354330708661,274.2277777777778,0.8862269,308.16080840268444,0.60608417,253.29086452586355,0.8047655,292.2054384843476
2024-07-31,0.5354330708661418,0.5354330708661418,240.14650537634407,0.76158905,283.7487112578525,0.6069503,253.46050550668468,0.74787617,281.0628477514431
2024-08-31,0.6929133858267716,0.6929133858267716,270.51747311827955,0.5768965,247.57404169079757,0.6021275,252.51589325142484,0.64338446,260.59665749214025
2024-09-30,0.4094488188976378,0.4094488188976378,214.35277777777776,0.511473,234.75991933632602,0.60195976,252.48304143668184,0.41571993,216.00531562978543
2024-10-31,0.4645669291338583,0.4645669291338583,225.2016129032258,0.3500696,203.14676627424615,0.59686875,251.48589429643846,0.3585257,204.80301024428297
2024-11-30,0.4094488188976378,0.4094488188976378,215.38194444444443,0.33781752,200.74701942587572,0.5950295,251.12564507847833,0.35204598,203.53386665564233
2024-12-31,0.2677165354330709,0.2677165354330709,187.47311827956986,0.47973242,228.5430753031966,0.5862366,249.40343480453055,0.40182063,213.28294037831245
