data,ghi_real_normalizado,ghi_previsto_deepnpts_aprox_normalizado,ghi_real_wm2,ghi_previsto_deepnpts_aprox_wm2
2024-01-31,0.25196850393700787,0.42386106,183.4516129032258,217.59987197043273
2024-02-29,0.4881889763779528,0.5207646,230.89511494252872,236.5798094730864
2024-03-31,0.8188976377952756,0.6102061,295.6760752688172,254.098208963871
2024-04-30,0.9291338582677166,0.8858698,316.1097222222222,308.09086695914306
2024-05-31,0.9448818897637795,0.9188179,320.3938172043011,314.5442172072587
2024-06-30,0.7165354330708661,0.8047655,274.2277777777778,292.2054384843476
2024-07-31,0.5354330708661418,0.74787617,240.14650537634407,281.0628477514431
2024-08-31,0.6929133858267716,0.64338446,270.51747311827955,260.59665749214025
2024-09-30,0.4094488188976378,0.41571993,214.35277777777776,216.00531562978543
2024-10-31,0.4645669291338583,0.3585257,225.2016129032258,204.80301024428297
2024-11-30,0.4094488188976378,0.35204598,215.38194444444443,203.53386665564233
2024-12-31,0.2677165354330709,0.40182063,187.47311827956986,213.28294037831245
