data,ghi_real_normalizado,ghi_previsto_deepnpts_aprox_normalizado,ghi_real_wm2,ghi_previsto_deepnpts_aprox_wm2
2024-01-31,0.023622047244094488,0.12854978,41.924731182795696,70.5261677043933
2024-02-29,0.29133858267716534,0.27717054,114.98132183908045,110.69788487728243
2024-03-31,0.3700787401574803,0.39560497,135.19220430107526,142.71033434123865
2024-04-30,0.6141732283464567,0.529786,201.80972222222223,178.9790379316095
2024-05-31,0.8031496062992126,0.78396755,252.0793010752688,247.68350608893883
2024-06-30,0.7952755905511811,0.8681183,250.30694444444444,270.42918114679253
2024-07-31,0.8110236220472441,0.8042028,255.49193548387098,253.1530272167536
2024-08-31,0.7086614173228346,0.66846204,227.54973118279568,216.4627323945897
2024-09-30,0.5669291338582677,0.5389539,189.1625,181.45709473933474
2024-10-31,0.4094488188976378,0.30023643,147.20833333333331,116.93252288042082
2024-11-30,0.11023622047244094,0.16722426,66.01666666666667,80.97975493876069
2024-12-31,0.031496062992125984,0.045465276,43.62231182795699,48.06868927418104
