data,ghi_real_normalizado,ghi_previsto_dilatedrnn_normalizado,ghi_real_wm2,ghi_previsto_dilatedrnn_wm2
2024-01-31,0.023622047244094488,0.14057018,41.924731182795696,73.77524202137076
2024-02-29,0.29133858267716534,0.21034376,114.98132183908045,92.63481998988041
2024-03-31,0.3700787401574803,0.4469141,135.19220430107526,156.5790312730884
2024-04-30,0.6141732283464567,0.57146573,201.80972222222223,190.24493905725654
2024-05-31,0.8031496062992126,0.79329973,252.0793010752688,250.2059646635099
2024-06-30,0.7952755905511811,0.8653237,250.30694444444444,269.6738194491994
2024-07-31,0.8110236220472441,0.81037796,255.49193548387098,254.822153431834
2024-08-31,0.7086614173228346,0.6912666,227.54973118279568,222.62673195551636
2024-09-30,0.5669291338582677,0.55996096,189.1625,187.13523650535222
2024-10-31,0.4094488188976378,0.3162443,147.20833333333331,121.25939933810128
2024-11-30,0.11023622047244094,0.15498564,66.01666666666667,77.67169442117935
2024-12-31,0.031496062992125984,0.07422335,43.62231182795699,55.84190448406436
