data,ghi_real_wm2,ghi_previsto_normalizado,ghi_previsto_wm2
2024-01-31,263.2258064516129,0.5240108,235.5453964204237
2024-02-29,250.05172413793105,0.5240108,235.5453964204237
2024-03-31,266.5255376344086,0.5240108,235.5453964204237
2024-04-30,184.0097222222222,0.4916528,230.56187441888997
2024-05-31,190.63709677419354,0.33237505,206.03117615240876
2024-06-30,180.60694444444442,0.37698188,212.90116828732113
2024-07-31,203.36559139784944,0.49700928,231.38683876940001
2024-08-31,224.1491935483871,0.5240108,235.5453964204237
2024-09-30,248.18888888888887,0.52401084,235.54540560026004
2024-10-31,267.252688172043,0.52401084,235.54540560026004
2024-11-30,253.79722222222225,0.5218376,235.21069958822062
2024-12-31,302.8521505376344,0.52401084,235.54540560026004
