data,ghi_real_wm2,ghi_previsto_normalizado,ghi_previsto_wm2
2024-01-31,263.2258064516129,0.7559986043330349,271.274328061157
2024-02-29,250.05172413793105,0.5485117418599057,239.31884131857163
2024-03-31,266.5255376344086,0.521544505005125,235.16556062636056
2024-04-30,184.0097222222222,0.3670323820664726,211.36882459554673
2024-05-31,190.63709677419354,0.33449648151297257,206.35790233086556
2024-06-30,180.60694444444442,0.13156594825994916,175.1041454050622
2024-07-31,203.36559139784944,0.21495469461680794,187.94702107885342
2024-08-31,224.1491935483871,0.43760816526249247,222.23834894704663
2024-09-30,248.18888888888887,0.5995424757994436,247.17819165252587
2024-10-31,267.252688172043,0.7091707737085006,264.0622756792857
2024-11-30,253.79722222222225,0.6955738488475638,261.96818477177163
2024-12-31,302.8521505376344,0.712011980514156,264.4998558967938
