data,ghi_real_wm2,ghi_previsto_normalizado,ghi_previsto_wm2
2024-01-31,263.2258064516129,0.4852556,229.57663012624428
2024-02-29,250.05172413793105,0.48484197,229.51292665210622
2024-03-31,266.5255376344086,0.48487887,229.5186089707879
2024-04-30,184.0097222222222,0.48456982,229.47101151947214
2024-05-31,190.63709677419354,0.48620003,229.7220846327242
2024-06-30,180.60694444444442,0.4878842,229.9814654978453
2024-07-31,203.36559139784944,0.4895657,230.24043786025015
2024-08-31,224.1491935483871,0.49019524,230.33739529145504
2024-09-30,248.18888888888887,0.4899593,230.3010569093849
2024-10-31,267.252688172043,0.4890756,230.16495665611438
2024-11-30,253.79722222222225,0.48790026,229.98393946373335
2024-12-31,302.8521505376344,0.4872331,229.88118955581098
