tarefa,resolucao,particao,modelo,tipo_horizonte,horizonte,N_sementes,MAE_wm2_media,MAE_wm2_desvio_padrao,MAE_wm2_minimo,MAE_wm2_maximo,RMSE_wm2_media,RMSE_wm2_desvio_padrao,RMSE_wm2_minimo,RMSE_wm2_maximo,nRMSE_media,nRMSE_desvio_padrao,nRMSE_minimo,nRMSE_maximo,R2_media,R2_desvio_padrao,R2_minimo,R2_maximo
monthly_1,mensal,teste_2024,DilatedRNN,cumulativo,1,1,121.36494698096857,,121.36494698096857,121.36494698096857,151.71419470941822,,151.71419470941822,151.71419470941822,0.7398012165369018,,0.7398012165369018,0.7398012165369018,-3.423190588681244,,-3.423190588681244,-3.423190588681244
monthly_1,mensal,teste_2024,DilatedRNN,lead_exato,1,1,121.36494698096857,,121.36494698096857,121.36494698096857,151.71419470941822,,151.71419470941822,151.71419470941822,0.7398012165369018,,0.7398012165369018,0.7398012165369018,-3.423190588681244,,-3.423190588681244,-3.423190588681244
monthly_1,mensal,teste_2024,LSTM,cumulativo,1,1,123.30926635039921,,123.30926635039921,123.30926635039921,151.62072459838348,,151.62072459838348,151.62072459838348,0.7451510927091983,,0.7451510927091983,0.7451510927091983,-3.12822307105251,,-3.12822307105251,-3.12822307105251
monthly_1,mensal,teste_2024,LSTM,lead_exato,1,1,123.30926635039921,,123.30926635039921,123.30926635039921,151.62072459838348,,151.62072459838348,151.62072459838348,0.7451510927091983,,0.7451510927091983,0.7451510927091983,-3.12822307105251,,-3.12822307105251,-3.12822307105251
monthly_1,mensal,teste_2024,TimesNet,cumulativo,1,1,91.29231393024254,,91.29231393024254,91.29231393024254,93.0236283107493,,93.0236283107493,93.0236283107493,0.47484354261245415,,0.47484354261245415,0.47484354261245415,-0.15783365029646246,,-0.15783365029646246,-0.15783365029646246
monthly_1,mensal,teste_2024,TimesNet,lead_exato,1,1,91.29231393024254,,91.29231393024254,91.29231393024254,93.0236283107493,,93.0236283107493,93.0236283107493,0.47484354261245415,,0.47484354261245415,0.47484354261245415,-0.15783365029646246,,-0.15783365029646246,-0.15783365029646246
monthly_1,mensal,teste_2024,XGBoost,cumulativo,1,1,82.33334027817477,,82.33334027817477,82.33334027817477,89.16344556615698,,89.16344556615698,89.16344556615698,0.4467032552515481,,0.4467032552515481,0.4467032552515481,-0.2173283765360527,,-0.2173283765360527,-0.2173283765360527
monthly_1,mensal,teste_2024,XGBoost,lead_exato,1,1,82.33334027817477,,82.33334027817477,82.33334027817477,89.16344556615698,,89.16344556615698,89.16344556615698,0.4467032552515481,,0.4467032552515481,0.4467032552515481,-0.2173283765360527,,-0.2173283765360527,-0.2173283765360527
monthly_1,mensal,validacao_2023,DilatedRNN,cumulativo,1,1,109.69302715336991,,109.69302715336991,109.69302715336991,136.82886171781212,,136.82886171781212,136.82886171781212,0.7001882429354982,,0.7001882429354982,0.7001882429354982,-3.2489378234677004,,-3.2489378234677004,-3.2489378234677004
monthly_1,mensal,validacao_2023,DilatedRNN,lead_exato,1,1,109.69302715336991,,109.69302715336991,109.69302715336991,136.82886171781212,,136.82886171781212,136.82886171781212,0.7001882429354982,,0.7001882429354982,0.7001882429354982,-3.2489378234677004,,-3.2489378234677004,-3.2489378234677004
monthly_1,mensal,validacao_2023,LSTM,cumulativo,1,1,111.89360355717201,,111.89360355717201,111.89360355717201,137.10990463662722,,137.10990463662722,137.10990463662722,0.7081415810226029,,0.7081415810226029,0.7081415810226029,-2.978351277647964,,-2.978351277647964,-2.978351277647964
monthly_1,mensal,validacao_2023,LSTM,lead_exato,1,1,111.89360355717201,,111.89360355717201,111.89360355717201,137.10990463662722,,137.10990463662722,137.10990463662722,0.7081415810226029,,0.7081415810226029,0.7081415810226029,-2.978351277647964,,-2.978351277647964,-2.978351277647964
monthly_1,mensal,validacao_2023,TimesNet,cumulativo,1,1,85.26504292500606,,85.26504292500606,85.26504292500606,86.55212945428813,,86.55212945428813,86.55212945428813,0.46938060956244615,,0.46938060956244615,0.46938060956244615,-0.1631267342170421,,-0.1631267342170421,-0.1631267342170421
monthly_1,mensal,validacao_2023,TimesNet,lead_exato,1,1,85.26504292500606,,85.26504292500606,85.26504292500606,86.55212945428813,,86.55212945428813,86.55212945428813,0.46938060956244615,,0.46938060956244615,0.46938060956244615,-0.1631267342170421,,-0.1631267342170421,-0.1631267342170421
monthly_1,mensal,validacao_2023,XGBoost,cumulativo,1,1,75.81182350829253,,75.81182350829253,75.81182350829253,76.2989410009709,,76.2989410009709,76.2989410009709,0.4073143079249595,,0.4073143079249595,0.4073143079249595,0.01774290856023575,,0.01774290856023575,0.01774290856023575
monthly_1,mensal,validacao_2023,XGBoost,lead_exato,1,1,75.81182350829253,,75.81182350829253,75.81182350829253,76.2989410009709,,76.2989410009709,76.2989410009709,0.4073143079249595,,0.4073143079249595,0.4073143079249595,0.01774290856023575,,0.01774290856023575,0.01774290856023575
