localidade,localidade_id,pais,arquivo,registros,inicio,fim,ghi_min_wm2,ghi_max_wm2,datas_duplicadas,valores_nao_finitos,valores_negativos
BYD Camacari,0,Brasil,C:\Users\gm.nascimento\Documents\Meus Projetos\TCC\dados\brutos\localidades_ev\byd_camacari.csv,2192,2019-01-01,2024-12-31,27.91666603088379,348.125,0,0,0
Tesla Gigafactory Nevada,1,EUA,C:\Users\gm.nascimento\Documents\Meus Projetos\TCC\dados\brutos\localidades_ev\tesla_gigafactory_nevada.csv,2192,2019-01-01,2024-12-31,7.916666507720947,394.4166564941406,0,0,0
