data,ghi_real_normalizado,ghi_previsto_rnn_normalizado,ghi_real_wm2,ghi_previsto_rnn_wm2
2024-01-31,0.1287692482312435,0.24177313,133.8051075268817,157.8922491368427
2024-02-29,0.24386942013840415,0.29570603,158.33908045977012,169.3882218567274
2024-03-31,0.3868626486575107,0.4190146,188.81854838709677,195.6718411497692
2024-04-30,0.5169506345663132,0.49894503,216.54722222222225,212.70926901257488
2024-05-31,0.578827891491052,0.5180149,229.73655913978493,216.7740755029904
2024-06-30,0.8951214693184346,0.5182533,297.1555555555555,216.8248951922181
2024-07-31,0.7669781695736068,0.51769096,269.8413978494624,216.70502425025228
2024-08-31,0.8469347861728019,0.5191714,286.88440860215053,217.02058911051162
2024-09-30,0.6403165054502498,0.51020426,242.84305555555554,215.10920977896902
2024-10-31,0.5131474405054669,0.39138266,215.73655913978493,189.78200433227005
2024-11-30,0.21242270229822713,0.31277862,151.6361111111111,173.02729910556027
2024-12-31,0.04195830653399421,0.25792602,115.30107526881721,161.33528943447976
