data,ghi_real_normalizado,ghi_previsto_sazonalingenuo_normalizado,ghi_real_wm2,ghi_previsto_sazonalingenuo_wm2
2024-01-31,0.1287692482312435,0.1215365795215215,133.8051075268817,132.26344086021507
2024-02-29,0.24386942013840415,0.2702877753575796,158.33908045977012,163.97023809523807
2024-03-31,0.3868626486575107,0.36570062931154057,188.81854838709677,184.3077956989247
2024-04-30,0.5169506345663132,0.47424530959016964,216.54722222222225,207.44444444444443
2024-05-31,0.578827891491052,0.6401636966693149,229.73655913978493,242.81048387096774
2024-06-30,0.8951214693184346,0.9273361667066026,297.1555555555555,304.0222222222222
2024-07-31,0.7669781695736068,0.945247373664762,269.8413978494624,307.84005376344084
2024-08-31,0.8469347861728019,0.927578726999861,286.88440860215053,304.0739247311828
2024-09-30,0.6403165054502498,0.6599033542263083,242.84305555555554,247.01805555555555
2024-10-31,0.5131474405054669,0.30713934395217724,215.73655913978493,171.8252688172043
2024-11-30,0.21242270229822713,0.06397706396949705,151.6361111111111,119.99444444444444
2024-12-31,0.04195830653399421,0.12499211784142356,115.30107526881721,133.0
