data,ghi_real_normalizado,ghi_previsto_persistencia_normalizado,ghi_real_wm2,ghi_previsto_persistencia_wm2
2024-01-31,0.1287692482312435,0.12499211784142356,133.8051075268817,133.0
2024-02-29,0.24386942013840415,0.1287692482312435,158.33908045977012,133.8051075268817
2024-03-31,0.3868626486575107,0.24386942013840415,188.81854838709677,158.33908045977012
2024-04-30,0.5169506345663132,0.3868626486575107,216.54722222222225,188.81854838709677
2024-05-31,0.578827891491052,0.5169506345663132,229.73655913978493,216.54722222222225
2024-06-30,0.8951214693184346,0.578827891491052,297.1555555555555,229.73655913978493
2024-07-31,0.7669781695736068,0.8951214693184346,269.8413978494624,297.1555555555555
2024-08-31,0.8469347861728019,0.7669781695736068,286.88440860215053,269.8413978494624
2024-09-30,0.6403165054502498,0.8469347861728019,242.84305555555554,286.88440860215053
2024-10-31,0.5131474405054669,0.6403165054502498,215.73655913978493,242.84305555555554
2024-11-30,0.21242270229822713,0.5131474405054669,151.6361111111111,215.73655913978493
2024-12-31,0.04195830653399421,0.21242270229822713,115.30107526881721,151.6361111111111
