data,ghi_real_normalizado,ghi_previsto_mlp_normalizado,ghi_real_wm2,ghi_previsto_mlp_wm2
2024-01-31,0.1287692482312435,0.14367035125004116,133.8051075268817,136.98132570341267
2024-02-29,0.24386942013840415,0.21426011483004484,158.33908045977012,152.02776151940523
2024-03-31,0.3868626486575107,0.3524465970661821,188.81854838709677,181.48265597088383
2024-04-30,0.5169506345663132,0.5722520595929826,216.54722222222225,228.33489935835047
2024-05-31,0.578827891491052,0.7328786004841213,229.73655913978493,262.5729646994286
2024-06-30,0.8951214693184346,0.814376493318861,297.1555555555555,279.9445034535819
2024-07-31,0.7669781695736068,0.888584648657638,269.8413978494624,295.7622111451884
2024-08-31,0.8469347861728019,0.8304055002790564,286.88440860215053,283.3611379936216
2024-09-30,0.6403165054502498,0.5862894481851804,242.84305555555554,231.3270140186761
2024-10-31,0.5131474405054669,0.3921923494658823,215.73655913978493,189.9545913069844
2024-11-30,0.21242270229822713,0.1851862812095375,151.6361111111111,145.83058009663404
2024-12-31,0.04195830653399421,0.05849365939928536,115.30107526881721,118.82563907190197
