data,ghi_real_normalizado,ghi_previsto_xgboost_normalizado,ghi_real_wm2,ghi_previsto_xgboost_wm2
2024-01-31,0.1287692482312435,0.11442774,133.8051075268817,130.74816833506588
2024-02-29,0.24386942013840415,0.16292876,158.33908045977012,141.08631766339144
2024-03-31,0.3868626486575107,0.37766838,188.81854838709677,186.8587605209761
2024-04-30,0.5169506345663132,0.48623523,216.54722222222225,210.00013490445832
2024-05-31,0.578827891491052,0.6790577,229.73655913978493,251.1008698379481
2024-06-30,0.8951214693184346,0.86465645,297.1555555555555,290.6618380649116
2024-07-31,0.7669781695736068,0.88032395,269.8413978494624,294.0014158277422
2024-08-31,0.8469347861728019,0.8330773,286.88440860215053,283.93064317748116
2024-09-30,0.6403165054502498,0.5279669,242.84305555555554,218.89537826581028
2024-10-31,0.5131474405054669,0.29901794,215.73655913978493,170.0941645122504
2024-11-30,0.21242270229822713,0.16890973,151.6361111111111,142.36118038735725
2024-12-31,0.04195830653399421,0.10897516,115.30107526881721,129.58593315923568
