data,ghi_real_normalizado,ghi_previsto_vizinhoshistoricos_normalizado,ghi_real_wm2,ghi_previsto_vizinhoshistoricos_wm2
2024-01-31,0.1287692482312435,0.15176964834947576,133.8051075268817,138.707717006922
2024-02-29,0.24386942013840415,0.2647483882039379,158.33908045977012,162.78949985444854
2024-03-31,0.3868626486575107,0.40457040468526523,188.81854838709677,192.5930137062063
2024-04-30,0.5169506345663132,0.5665682424096964,216.54722222222225,227.12337539083887
2024-05-31,0.578827891491052,0.6685273317111112,229.73655913978493,248.85628417572354
2024-06-30,0.8951214693184346,0.8197247535289158,297.1555555555555,281.08450236980735
2024-07-31,0.7669781695736068,0.8949932962764545,269.8413978494624,297.128235058196
2024-08-31,0.8469347861728019,0.8015243424977262,286.88440860215053,277.20502604750595
2024-09-30,0.6403165054502498,0.5823326937136882,242.84305555555554,230.48361903935347
2024-10-31,0.5131474405054669,0.3667787331727664,215.73655913978493,184.53759701469937
2024-11-30,0.21242270229822713,0.21918225305706301,151.6361111111111,153.0769311603594
2024-12-31,0.04195830653399421,0.07924522435216587,115.30107526881721,123.24890208214056
