data,ghi_real_normalizado,ghi_previsto_climatologia_normalizado,ghi_real_wm2,ghi_previsto_climatologia_wm2
2024-01-31,0.1287692482312435,0.12494955418511079,133.8051075268817,132.99092741935482
2024-02-29,0.24386942013840415,0.2376546429035815,158.33908045977012,157.01438064449917
2024-03-31,0.3868626486575107,0.3917748098823351,188.81854838709677,189.86559139784947
2024-04-30,0.5169506345663132,0.513192579000248,216.54722222222225,215.74618055555555
2024-05-31,0.578827891491052,0.716885475388748,229.73655913978493,259.1639784946237
2024-06-30,0.8951214693184346,0.900671402267539,297.1555555555555,298.33854166666663
2024-07-31,0.7669781695736068,0.8919592523930231,269.8413978494624,296.4815188172043
2024-08-31,0.8469347861728019,0.8083926071658277,286.88440860215053,278.6690188172043
2024-09-30,0.6403165054502498,0.6068523808322718,242.84305555555554,235.71006944444446
2024-10-31,0.5131474405054669,0.40102846405105097,215.73655913978493,191.83803763440858
2024-11-30,0.21242270229822713,0.13710195099189074,151.6361111111111,135.58124999999998
2024-12-31,0.04195830653399421,0.06035053535621048,115.30107526881721,119.22143817204301
