data,ghi_real_normalizado,ghi_previsto_lstm_normalizado,ghi_real_wm2,ghi_previsto_lstm_wm2
2024-01-31,0.24951448981972638,0.49022636,183.4516129032258,230.59846181770968
2024-02-29,0.4917409435520911,0.513272,230.89511494252872,235.11227664711976
2024-03-31,0.8224851258895302,0.55035096,295.6760752688172,242.37472249607566
2024-04-30,0.9268106841976443,0.59653944,316.1097222222222,251.42139313209762
2024-05-31,0.9486834610871313,0.6226981,320.3938172043011,256.5449453482545
2024-06-30,0.7129791911137342,0.6307697,274.2277777777778,258.12588347927215
2024-07-31,0.538974629948601,0.61055034,240.14650537634407,254.16562873293316
2024-08-31,0.694035944909177,0.56617016,270.51747311827955,245.473136617051
2024-09-30,0.4072827670763479,0.5365677,214.35277777777776,239.6750715009628
2024-10-31,0.46267233038024186,0.49618554,225.2016129032258,231.76565270622572
2024-11-30,0.41253725675882774,0.49501005,215.38194444444443,231.53541565418084
2024-12-31,0.27004659525263663,0.50466114,187.47311827956986,233.42572004844746
