data,ghi_real_normalizado,ghi_previsto_sazonalingenuo_normalizado,ghi_real_wm2,ghi_previsto_sazonalingenuo_wm2
2024-01-31,0.24951448981972638,0.4182798871832174,183.4516129032258,216.50672043010752
2024-02-29,0.4917409435520911,0.5755839601749306,230.89511494252872,247.31696428571428
2024-03-31,0.8224851258895302,0.800203125107224,295.6760752688172,291.31182795698925
2024-04-30,0.9268106841976443,0.8209266896783625,316.1097222222222,295.37083333333334
2024-05-31,0.9486834610871313,0.822279255848425,320.3938172043011,295.6357526881721
2024-06-30,0.7129791911137342,0.996721633967642,274.2277777777778,329.8027777777778
2024-07-31,0.538974629948601,0.7610054692807586,240.14650537634407,283.63440860215053
2024-08-31,0.694035944909177,0.5944840553653163,270.51747311827955,251.01881720430106
2024-09-30,0.4072827670763479,0.7313238129876546,214.35277777777776,277.8208333333333
2024-10-31,0.46267233038024186,0.2987860529909485,225.2016129032258,193.1021505376344
2024-11-30,0.41253725675882774,0.2887341051172429,215.38194444444443,191.13333333333333
2024-12-31,0.27004659525263663,0.0,187.47311827956986,134.58064516129033
