data,ghi_real_normalizado,ghi_previsto_persistencia_normalizado,ghi_real_wm2,ghi_previsto_persistencia_wm2
2024-01-31,0.24951448981972638,0.0,183.4516129032258,134.58064516129033
2024-02-29,0.4917409435520911,0.24951448981972638,230.89511494252872,183.4516129032258
2024-03-31,0.8224851258895302,0.4917409435520911,295.6760752688172,230.89511494252872
2024-04-30,0.9268106841976443,0.8224851258895302,316.1097222222222,295.6760752688172
2024-05-31,0.9486834610871313,0.9268106841976443,320.3938172043011,316.1097222222222
2024-06-30,0.7129791911137342,0.9486834610871313,274.2277777777778,320.3938172043011
2024-07-31,0.538974629948601,0.7129791911137342,240.14650537634407,274.2277777777778
2024-08-31,0.694035944909177,0.538974629948601,270.51747311827955,240.14650537634407
2024-09-30,0.4072827670763479,0.694035944909177,214.35277777777776,270.51747311827955
2024-10-31,0.46267233038024186,0.4072827670763479,225.2016129032258,214.35277777777776
2024-11-30,0.41253725675882774,0.46267233038024186,215.38194444444443,225.2016129032258
2024-12-31,0.27004659525263663,0.41253725675882774,187.47311827956986,215.38194444444443
