data,ghi_real_normalizado,ghi_previsto_climatologia_normalizado,ghi_real_wm2,ghi_previsto_climatologia_wm2
2024-01-31,0.24951448981972638,0.3302309861861202,183.4516129032258,199.2610887096774
2024-02-29,0.4917409435520911,0.5539290094517335,230.89511494252872,243.07553366174054
2024-03-31,0.8224851258895302,0.8112103099716584,295.6760752688172,293.46774193548384
2024-04-30,0.9268106841976443,0.8917346609663539,316.1097222222222,309.2395833333333
2024-05-31,0.9486834610871313,0.8969568976757274,320.3938172043011,310.26243279569894
2024-06-30,0.7129791911137342,0.8031688546077145,274.2277777777778,291.8927083333333
2024-07-31,0.538974629948601,0.7348599740603747,240.14650537634407,278.51344086021504
2024-08-31,0.694035944909177,0.6487119397761507,270.51747311827955,261.64012096774195
2024-09-30,0.4072827670763479,0.5273790570694628,214.35277777777776,237.87534722222222
2024-10-31,0.46267233038024186,0.4358766289467003,225.2016129032258,219.9532930107527
2024-11-30,0.41253725675882774,0.35556398097760816,215.38194444444443,204.22291666666666
2024-12-31,0.27004659525263663,0.23575036198815555,187.47311827956986,180.7557123655914
