data,ghi_real_normalizado,ghi_previsto_mlp_normalizado,ghi_real_wm2,ghi_previsto_mlp_wm2
2024-01-31,0.24951448981972638,0.35808239276544523,183.4516129032258,204.71618349591262
2024-02-29,0.4917409435520911,0.5273510831834155,230.89511494252872,237.86986813808716
2024-03-31,0.8224851258895302,0.7618401374788432,295.6760752688172,283.79789026052345
2024-04-30,0.9268106841976443,0.9907169476213084,316.1097222222222,328.62667440620953
2024-05-31,0.9486834610871313,0.9217878308023147,320.3938172043011,315.12592482258833
2024-06-30,0.7129791911137342,0.7904976490903269,274.2277777777778,289.4108722021367
2024-07-31,0.538974629948601,0.8201536333868938,240.14650537634407,295.2194192446752
2024-08-31,0.694035944909177,0.6337253257522814,270.51747311827955,258.7047790922039
2024-09-30,0.4072827670763479,0.6373215824777723,214.35277777777776,259.4091572088823
2024-10-31,0.46267233038024186,0.4945164105770945,225.2016129032258,231.43872970231982
2024-11-30,0.41253725675882774,0.4367607887297154,215.38194444444443,220.12646830115636
2024-12-31,0.27004659525263663,0.41808216311256646,187.47311827956986,216.46799335383406
