data,ghi_real_wm2,ghi_previsto_normalizado,ghi_previsto_wm2
2024-01-31,90.82392473118279,0.48196575,211.17289575785264
2024-02-29,126.60632183908045,0.4855674,212.17767421735925
2024-03-31,189.37231182795696,0.48687202,212.54163630160645
2024-04-30,268.85,0.48531362,212.1068788695119
2024-05-31,329.3817204301075,0.48114127,210.94288362653185
2024-06-30,351.7125,0.4758693,209.47211962846978
2024-07-31,339.43817204301075,0.4714037,208.22631273278063
2024-08-31,300.78629032258067,0.46862853,207.4521034554822
2024-09-30,249.20416666666668,0.46784452,207.23338199737066
2024-10-31,190.11021505376343,0.46892983,207.53615994012534
2024-11-30,119.65277777777779,0.47186232,208.35425983883147
2024-12-31,91.68279569892472,0.47695145,209.7740162668356
