data,ghi_real_wm2,ghi_previsto_normalizado,ghi_previsto_wm2
2024-01-31,90.82392473118279,0.08882349,101.49485347254507
2024-02-29,126.60632183908045,0.2800751,154.84984636251883
2024-03-31,189.37231182795696,0.425085,195.3044199273444
2024-04-30,268.85,0.73814434,282.6410862493766
2024-05-31,329.3817204301075,0.8618869,317.1625440698237
2024-06-30,351.7125,0.95310867,342.61140554414317
2024-07-31,339.43817204301075,0.9496797,341.65479120091135
2024-08-31,300.78629032258067,0.81447375,303.9353125503894
2024-09-30,249.20416666666668,0.6149424,248.270447878131
2024-10-31,190.11021505376343,0.3797058,182.64461540730943
2024-11-30,119.65277777777779,0.19261603,130.45068908606098
2024-12-31,91.68279569892472,0.07876261,98.68809022019752
