data,ghi_real_normalizado,ghi_previsto_lstm_normalizado,ghi_real_wm2,ghi_previsto_lstm_wm2
2024-01-31,0.12598425196850394,0.13839017,133.8051075268817,135.85583772754637
2024-02-29,0.2440944881889764,0.18047757,158.33908045977012,144.82690406522605
2024-03-31,0.3858267716535433,0.30285046,188.81854838709677,170.91107831166318
2024-04-30,0.5196850393700787,0.54368603,216.54722222222225,222.24595849135872
2024-05-31,0.5826771653543307,0.74926305,229.73655913978493,266.0653625771564
2024-06-30,0.8976377952755905,0.78776693,297.1555555555555,274.27258992836045
2024-07-31,0.7637795275590551,0.8781766,269.8413978494624,293.543708296713
2024-08-31,0.8503937007874016,0.78337127,286.88440860215053,273.3356400229918
2024-09-30,0.6377952755905512,0.6376845,242.84305555555554,242.28204023181115
2024-10-31,0.5118110236220472,0.52069336,215.73655913978493,217.34499659669657
2024-11-30,0.2125984251968504,0.38780043,151.6361111111111,189.01843850162402
2024-12-31,0.03937007874015748,0.18230534,115.30107526881721,145.21649733153723
