data,ghi_real_normalizado,ghi_previsto_sazonalingenuo_normalizado,ghi_real_wm2,ghi_previsto_sazonalingenuo_wm2
2024-01-31,0.022734863522030812,0.02948272218331603,41.924731182795696,43.7486559139785
2024-02-29,0.293017698989856,0.26999710521907105,114.98132183908045,108.75892857142857
2024-03-31,0.3677906191338508,0.38744742479933364,135.19220430107526,140.505376344086
2024-04-30,0.614251225546057,0.5340410490591371,201.80972222222223,180.12916666666666
2024-05-31,0.8002303985148413,0.8538751289775862,252.0793010752688,266.57930107526886
2024-06-30,0.7936733230841909,0.8299760070611344,250.30694444444444,260.1194444444444
2024-07-31,0.8128559056194863,0.8036615130883762,255.49193548387098,253.00672043010752
2024-08-31,0.7094799043597533,0.7086146667716444,227.54973118279568,227.31586021505373
2024-09-30,0.5674610995313297,0.4748006182636407,189.1625,164.11666666666667
2024-10-31,0.4122459296953021,0.25418094571131405,147.20833333333331,104.48387096774194
2024-11-30,0.11186626940879577,0.16835766468728372,66.01666666666667,81.2861111111111
2024-12-31,0.029015294980544597,0.0072003679746064355,43.62231182795699,37.725806451612904
