data,ghi_real_normalizado,ghi_previsto_vizinhoshistoricos_normalizado,ghi_real_wm2,ghi_previsto_vizinhoshistoricos_wm2
2024-01-31,0.022734863522030812,0.15501386524370345,41.924731182795696,77.67932456818521
2024-02-29,0.293017698989856,0.33549377604188885,114.98132183908045,126.46247034969159
2024-03-31,0.3677906191338508,0.4425966324688642,135.19220430107526,155.41203174733283
2024-04-30,0.614251225546057,0.5977175367538282,201.80972222222223,197.34071873540609
2024-05-31,0.8002303985148413,0.8017106186308947,252.0793010752688,252.4793998640525
2024-06-30,0.7936733230841909,0.8793574585536854,250.30694444444444,273.46709370030675
2024-07-31,0.8128559056194863,0.7954319542270964,255.49193548387098,250.78229684815983
2024-08-31,0.7094799043597533,0.6587030583109774,227.54973118279568,213.82491121714085
2024-09-30,0.5674610995313297,0.4488596695308812,189.1625,157.1049107424527
2024-10-31,0.4122459296953021,0.28225373258336495,147.20833333333331,112.07185595962164
2024-11-30,0.11186626940879577,0.19675463759759776,66.01666666666667,88.96172255789637
2024-12-31,0.029015294980544597,0.04005436140985354,43.62231182795699,46.60613636848932
