data,ghi_real_normalizado,ghi_previsto_persistencia_normalizado,ghi_real_wm2,ghi_previsto_persistencia_wm2
2024-01-31,0.022734863522030812,0.0072003679746064355,41.924731182795696,37.725806451612904
2024-02-29,0.293017698989856,0.022734863522030812,114.98132183908045,41.924731182795696
2024-03-31,0.3677906191338508,0.293017698989856,135.19220430107526,114.98132183908045
2024-04-30,0.614251225546057,0.3677906191338508,201.80972222222223,135.19220430107526
2024-05-31,0.8002303985148413,0.614251225546057,252.0793010752688,201.80972222222223
2024-06-30,0.7936733230841909,0.8002303985148413,250.30694444444444,252.0793010752688
2024-07-31,0.8128559056194863,0.7936733230841909,255.49193548387098,250.30694444444444
2024-08-31,0.7094799043597533,0.8128559056194863,227.54973118279568,255.49193548387098
2024-09-30,0.5674610995313297,0.7094799043597533,189.1625,227.54973118279568
2024-10-31,0.4122459296953021,0.5674610995313297,147.20833333333331,189.1625
2024-11-30,0.11186626940879577,0.4122459296953021,66.01666666666667,147.20833333333331
2024-12-31,0.029015294980544597,0.11186626940879577,43.62231182795699,66.01666666666667
