data,ghi_real_normalizado,ghi_previsto_climatologia_normalizado,ghi_real_wm2,ghi_previsto_climatologia_wm2
2024-01-31,0.022734863522030812,0.08264883702620164,41.924731182795696,58.11928763440861
2024-02-29,0.293017698989856,0.2943738337361212,114.98132183908045,115.34788074712644
2024-03-31,0.3677906191338508,0.40393666527156774,135.19220430107526,144.96236559139783
2024-04-30,0.614251225546057,0.5278801264705518,201.80972222222223,178.4638888888889
2024-05-31,0.8002303985148413,0.7590458352153359,252.0793010752688,240.94724462365593
2024-06-30,0.7936733230841909,0.8921491706067852,250.30694444444444,276.92465277777774
2024-07-31,0.8128559056194863,0.8324754165613438,255.49193548387098,260.79502688172045
2024-08-31,0.7094799043597533,0.7309430178061588,227.54973118279568,233.35114247311827
2024-09-30,0.5674610995313297,0.5299097882074084,189.1625,179.0125
2024-10-31,0.4122459296953021,0.28506222003058174,147.20833333333331,112.8309811827957
2024-11-30,0.11186626940879577,0.1636547585995417,66.01666666666667,80.01493055555555
2024-12-31,0.029015294980544597,0.02053198851322512,43.62231182795699,41.329301075268816
