data,ghi_real_normalizado,ghi_previsto_vizinhoshistoricos_normalizado,ghi_real_wm2,ghi_previsto_vizinhoshistoricos_wm2
2024-01-31,0.05057341753510517,0.15142900218998986,90.82392473118279,118.96041420777797
2024-02-29,0.17883584997793822,0.2814172164753993,126.60632183908045,155.22426648564672
2024-03-31,0.40382129537390776,0.44575225153054276,189.37231182795696,201.0701261897678
2024-04-30,0.6887100237377565,0.6475253474262417,268.85,257.3603812981586
2024-05-31,0.9056867030503202,0.7878027028681652,329.3817204301075,296.49467761602864
2024-06-30,0.9857316507753836,0.9338444933336111,351.7125,337.2371244982214
2024-07-31,0.9417341747086662,0.9165205511112914,339.43817204301075,332.4041257138766
2024-08-31,0.8031860401886111,0.7470390857618601,300.78629032258067,285.12252516989275
2024-09-30,0.6182892980635766,0.5668035501031135,249.20416666666668,234.84077557988422
2024-10-31,0.406466318354452,0.4516379371734602,190.11021505376343,202.7121030096054
2024-11-30,0.1539107877270292,0.25313241448843593,119.65277777777779,147.33342894623803
2024-12-31,0.053652050840328785,0.07507582603598975,91.68279569892472,97.65955769385369
