data,ghi_real,ghi_real_normalizado,ghi_real_wm2,ghi_previsto_xgboost_normalizado,ghi_previsto_xgboost_wm2,ghi_previsto_mlp_normalizado,ghi_previsto_mlp_wm2,ghi_previsto_rnn_normalizado,ghi_previsto_rnn_wm2,ghi_previsto_lstm_normalizado,ghi_previsto_lstm_wm2,ghi_previsto_vizinhoshistoricos_normalizado,ghi_previsto_vizinhoshistoricos_wm2,ghi_previsto_persistencia_normalizado,ghi_previsto_persistencia_wm2,ghi_previsto_sazonalingenuo_normalizado,ghi_previsto_sazonalingenuo_wm2,ghi_previsto_climatologia_normalizado,ghi_previsto_climatologia_wm2
2024-01-31,0.05057341753510517,0.05057341753510517,90.82392473118279,0.08882349,101.49485347254507,0.11235458624960597,108.05951172753572,0.27081433,152.26629423215104,0.4924558,214.09939169421068,0.15142900218998986,118.96041420777797,0.04658902044055136,89.71236559139786,0.09290342100880572,102.63306451612904,0.10280178114273672,105.39448924731184
2024-02-29,0.17883584997793822,0.17883584997793822,126.60632183908045,0.2800751,154.84984636251883,0.2598312178086792,149.2022477109179,0.32817602,168.2689444987791,0.49143815,213.81548696808704,0.2814172164753993,155.22426648564672,0.05057341753510517,90.82392473118279,0.2254747878194409,139.61755952380952,0.3130507455832226,164.04932522577997
2024-03-31,0.40382129537390776,0.40382129537390776,189.37231182795696,0.425085,195.3044199273444,0.4386843114972687,199.0983264024985,0.4429545,200.28961797368754,0.4929231,214.22975823023495,0.44575225153054276,201.0701261897678,0.17883584997793822,126.60632183908045,0.3592702434593496,176.94354838709677,0.42330244368325315,194.80712365591398
2024-04-30,0.6887100237377565,0.6887100237377565,268.85,0.73814434,282.6410862493766,0.6680312404827696,263.0810743680316,0.5087334,218.64047884206724,0.49623272,215.15306591891874,0.6475253474262417,257.3603812981586,0.40382129537390776,189.37231182795696,0.7445636908525407,284.43194444444447,0.7083987027663858,274.34270833333335
2024-05-31,0.9056867030503202,0.9056867030503202,329.3817204301075,0.8618869,317.1625440698237,0.8351613055049224,309.70668594729796,0.5247664,223.11333141331977,0.5005648,216.36162523288664,0.7878027028681652,296.49467761602864,0.6887100237377565,268.85,0.7273283228322014,279.6236559139785,0.8531030198710765,314.7120295698925
2024-06-30,0.9857316507753836,0.9857316507753836,351.7125,0.95310867,342.61140554414317,0.9562905343561434,343.49907617083136,0.524441,223.02255706125902,0.5043152,217.40789982640456,0.9338444933336111,337.2371244982214,0.9056867030503202,329.3817204301075,0.9004899636072462,327.93194444444447,0.957812284951361,343.9236111111111
2024-07-31,0.9417341747086662,0.9417341747086662,339.43817204301075,0.9496797,341.65479120091135,0.9489143960597975,341.44129584797446,0.5242782,222.9771449426516,0.5066531,218.06011495937366,0.9165205511112914,332.4041257138766,0.9857316507753836,351.7125,0.977198681374943,349.3319892473118,0.9482383295788569,341.252688172043
2024-08-31,0.8031860401886111,0.8031860401886111,300.78629032258067,0.81447375,303.9353125503894,0.8091245280332163,302.44299779513545,0.53239757,225.2422635060725,0.5073524,218.2552157970232,0.7470390857618601,285.12252516989275,0.9417341747086662,339.43817204301075,0.8019285702470408,300.43548387096774,0.7925324754058635,297.8141801075269
2024-09-30,0.6182892980635766,0.6182892980635766,249.20416666666668,0.6149424,248.270447878131,0.6045281379855831,245.36510572576663,0.5184827,221.3603172134114,0.5064051,217.99094087903433,0.5668035501031135,234.84077557988422,0.8031860401886111,300.78629032258067,0.5685044089337217,235.31527777777777,0.5907271388190606,241.51493055555554
2024-10-31,0.406466318354452,0.406466318354452,190.11021505376343,0.3797058,182.64461540730943,0.3838396934797444,183.79788445891774,0.4506398,202.43364863974512,0.5039723,217.3122367292429,0.4516379371734602,202.7121030096054,0.6182892980635766,249.20416666666668,0.39682571546908046,187.42069892473117,0.38026059659320394,182.7993951612903
2024-11-30,0.1539107877270292,0.1539107877270292,119.65277777777779,0.19261603,130.45068908606098,0.17893016360372485,126.63263326594418,0.31712663,165.1864078004247,0.5002933,216.285882940592,0.25313241448843593,147.33342894623803,0.406466318354452,190.11021505376343,0.18656469650730095,128.7625,0.19228871413500606,130.359375
2024-12-31,0.053652050840328785,0.053652050840328785,91.68279569892472,0.07876261,98.68809022019752,0.06056878192151893,93.61241151488856,0.26037374,149.35359985509143,0.49555385,214.96367693141264,0.07507582603598975,97.65955769385369,0.1539107877270292,119.65277777777779,0.04658902044055136,89.71236559139786,0.04814881313627303,90.14751344086022
