data,ghi_real_normalizado,ghi_previsto_sazonalingenuo_normalizado,ghi_real_wm2,ghi_previsto_sazonalingenuo_wm2
2024-01-31,0.05057341753510517,0.09290342100880572,90.82392473118279,102.63306451612904
2024-02-29,0.17883584997793822,0.2254747878194409,126.60632183908045,139.61755952380952
2024-03-31,0.40382129537390776,0.3592702434593496,189.37231182795696,176.94354838709677
2024-04-30,0.6887100237377565,0.7445636908525407,268.85,284.43194444444447
2024-05-31,0.9056867030503202,0.7273283228322014,329.3817204301075,279.6236559139785
2024-06-30,0.9857316507753836,0.9004899636072462,351.7125,327.93194444444447
2024-07-31,0.9417341747086662,0.977198681374943,339.43817204301075,349.3319892473118
2024-08-31,0.8031860401886111,0.8019285702470408,300.78629032258067,300.43548387096774
2024-09-30,0.6182892980635766,0.5685044089337217,249.20416666666668,235.31527777777777
2024-10-31,0.406466318354452,0.39682571546908046,190.11021505376343,187.42069892473117
2024-11-30,0.1539107877270292,0.18656469650730095,119.65277777777779,128.7625
2024-12-31,0.053652050840328785,0.04658902044055136,91.68279569892472,89.71236559139786
