Localidade,Modelo,seed,N_teste,MAE_wm2,MSE_wm4,RMSE_wm2,R2,nRMSE_percentual
Tesla Gigafactory Nevada,XGBoost,23,12,12.435158552954258,259.5072934993699,16.10923007158846,0.9705215287415334,7.251347904325602
Tesla Gigafactory Texas,XGBoost,23,12,11.095817926368602,244.41982431256838,15.633931825122188,0.9265175362331591,7.484394710471268
BMW San Luis Potosi,XGBoost,42,12,23.511794614988986,736.2318296688519,27.133592273579477,0.6356406082722148,10.948957246698772
BYD Camacari,XGBoost,42,12,17.224697538061196,422.79723212689197,20.562033754638474,0.6982854210118046,8.704542402246272
Ford Rouge Electric Vehicle Center,XGBoost,42,12,14.151215202043772,268.76993032428976,16.394204168677714,0.9552273220421784,10.217928637980407
GM Factory Zero,XGBoost,42,12,15.31846825799199,301.9544601754142,17.376836886367272,0.9492399033027804,10.84157575032691
Hyundai Metaplant Georgia,XGBoost,42,12,12.379672684193784,264.37906397534243,16.25973751249824,0.9120701266598725,8.197669507083177
Lucid AMP 1 Casa Grande,XGBoost,42,12,10.922323935104409,165.9525037488248,12.88225538284445,0.9700909582911236,5.224446574827046
Rivian Normal,XGBoost,42,12,16.285555874610566,386.98055370218975,19.671821311261187,0.9344069046351824,10.934878432287997
Tesla Fremont Factory,XGBoost,42,12,13.088101803235896,228.75255291146107,15.124567858668263,0.9743728052847173,6.855014401282671
Tesla Gigafactory Nevada,XGBoost,42,12,11.768204701125848,226.9400149241486,15.064528367132793,0.9742209761539756,6.781089829818941
Tesla Gigafactory Texas,XGBoost,42,12,11.473888182827883,270.9119396987279,16.45940277466737,0.91855293714859,7.879570439618044
BMW San Luis Potosi,XGBoost,67,12,22.175416345468914,707.9063233764165,26.606509041518702,0.6496588343624063,10.736268424846585
BYD Camacari,XGBoost,67,12,16.934355348442168,421.2489108643047,20.524349219020433,0.6993903267736753,8.688589377262923
Ford Rouge Electric Vehicle Center,XGBoost,67,12,14.86355589119973,301.7412054407255,17.370699624388347,0.9497348464484029,10.826543778984119
GM Factory Zero,XGBoost,67,12,14.866034519379362,309.0101792300823,17.578685366946026,0.9480538006657294,10.967510959743523
Hyundai Metaplant Georgia,XGBoost,67,12,13.345862586105854,292.8437799394905,17.112678923520143,0.9026030424219782,8.627696854762569
Lucid AMP 1 Casa Grande,XGBoost,67,12,10.671821956347086,167.30375038640616,12.934595099438024,0.9698474278162621,5.2456731415235005
Rivian Normal,XGBoost,67,12,15.261578742235821,345.78284860694043,18.59523725600027,0.9413899040992948,10.336442955463152
Tesla Fremont Factory,XGBoost,67,12,14.710909518114681,317.8819135184882,17.829243212163778,0.9643876250099904,8.080873458695672
Tesla Gigafactory Nevada,XGBoost,67,12,13.238629532062342,297.00144923182285,17.23372998604257,0.9662624176498358,7.757526043308942
Tesla Gigafactory Texas,XGBoost,67,12,12.240577349222727,281.3846007818244,16.774522371198067,0.9154044325592203,8.030426888771183
BMW San Luis Potosi,XGBoost,89,12,22.650339731882678,709.1542820286667,26.62995084540463,0.64904122257613,10.74572767026992
BYD Camacari,XGBoost,89,12,17.451827694174636,452.4468859404165,21.270798902260736,0.6771269740359538,9.004584526207896
Ford Rouge Electric Vehicle Center,XGBoost,89,12,15.026738207793807,304.0570740658528,17.437232408437207,0.9493490605830707,10.86801131424858
GM Factory Zero,XGBoost,89,12,15.802732609387618,322.22555889784456,17.95064229764062,0.9458322274210872,11.199578468137311
Hyundai Metaplant Georgia,XGBoost,89,12,12.862015100400725,295.08461687511414,17.17802715317199,0.9018577621226892,8.660643462242982
