Modelo,Referencia,N_localidades,Diferenca_MAE_wm2,Mediana_diferenca_MAE_wm2,IC95_inferior,IC95_superior,Wilcoxon_p,Conclusao_IC95,Wilcoxon_p_Holm
LSTM,Climatologia,10,0.15075017727604081,-0.24021748844772883,-0.9481133264496818,1.3210609694678472,0.845703125,inconclusivo,1.0
RNN,Climatologia,10,0.48306534291513553,0.26295177368003486,-0.9262225846658374,1.8868473768199672,0.556640625,inconclusivo,1.0
DilatedRNN,Climatologia,10,1.3509395418482928,0.6949175416247728,-0.3741739966678967,3.285236779534144,0.275390625,inconclusivo,0.826171875
DeepAR,Climatologia,10,2.1105762415942677,1.8579441044039111,1.079367657402482,3.2404726052548236,0.00390625,referencia_melhor,0.0234375
XGBoost,Climatologia,10,2.5019493986073527,1.6255344433558063,1.1948082956723154,4.287133649547512,0.00390625,referencia_melhor,0.0234375
MLP,Climatologia,10,3.9881112875795126,2.4351246990881155,2.151285188835547,6.397302257371571,0.001953125,referencia_melhor,0.017578125
Sazonal ingenuo,Climatologia,10,4.8715294466202135,4.4062697598853156,1.7574998571632678,8.794500055779425,0.01953125,referencia_melhor,0.078125
DeepNPTS,Climatologia,10,5.62957229848689,4.797629608500214,3.7619943948740606,7.54584001327229,0.001953125,referencia_melhor,0.017578125
Persistencia,Climatologia,10,23.016362144878414,21.961365660735602,19.33200437765948,26.747978785716985,0.001953125,referencia_melhor,0.017578125
