data_alvo,Localidade,localidade_id,y_wm2,Persistencia,Sazonal ingenuo,Climatologia,XGBoost,MLP,RNN,LSTM,DilatedRNN,DeepNPTS,DeepAR
2024-01-31,BYD Camacari,0,263.2258064516129,278.7258064516129,272.741935483871,262.0070564516129,270.86223528910705,269.5782633230043,266.8544013706106,266.1515986099039,262.537482363242,278.53614883573465,270.22847958525983
2024-01-31,Tesla Gigafactory Nevada,1,93.5994623655914,91.38844086021506,94.42204301075269,105.14314516129032,106.27385166245263,108.06321104498929,107.39310980364232,107.14072749557461,103.86665190721683,95.11814617123756,92.82297551219608
2024-01-31,Tesla Gigafactory Texas,2,133.8051075268817,133.0,132.26344086021507,132.99092741935482,126.14707151054536,141.84799022752705,136.92918100871788,124.30372989656385,126.4590875683813,133.2114764895811,136.73474837158636
2024-01-31,Hyundai Metaplant Georgia,3,128.3319892473118,107.97983870967742,122.36021505376344,120.91666666666667,121.12958028898925,110.83638476360628,125.07162058677883,121.7016458348321,119.07948749818067,122.02987745482355,113.8109417653853
2024-01-31,Rivian Normal,4,66.06854838709677,55.009408602150536,50.153225806451616,72.91868279569893,74.38564588067634,82.51558718897698,72.71110139807726,72.82088061019537,72.22291025976145,55.93049908947621,74.28532533242958
2024-01-31,Tesla Fremont Factory,5,90.82392473118279,89.71236559139786,102.63306451612904,105.39448924731184,100.82527040746956,97.53128442652053,105.52996838945573,109.85118921491434,101.53102207995425,103.07517981882737,86.31148579848468
2024-01-31,Lucid AMP 1 Casa Grande,6,137.9798387096774,134.58064516129033,140.9771505376344,147.7486559139785,143.21380221223382,144.5729466139591,142.64088256445484,148.77693529307763,141.96732033112818,140.24809067685317,128.72235838965645
2024-01-31,GM Factory Zero,7,42.969086021505376,38.368279569892465,44.233870967741936,58.621303763440864,70.52552164794923,72.74649399277415,64.55875061986146,59.35496223849634,51.95915920962369,44.67033976422602,67.54051068036728
2024-01-31,Ford Rouge Electric Vehicle Center,8,41.924731182795696,37.725806451612904,43.7486559139785,58.11928763440861,70.09227576542071,71.78060674347252,60.54899966729117,58.87055649220822,60.750488593913175,44.29285549844104,67.08618270647193
2024-01-31,BMW San Luis Potosi,9,183.4516129032258,134.58064516129033,216.50672043010752,199.2610887096774,198.39928328108084,191.3619839912277,190.38588802570538,195.3777697247443,192.60641386511747,216.31926993965624,185.86884813807825
2024-02-29,BYD Camacari,0,250.05172413793105,263.2258064516129,280.67261904761904,263.0959308292282,249.2781671748687,251.35622193271166,247.25767418517862,254.293170507076,248.40754048253902,262.7711385730454,251.27331096454657
2024-02-29,Tesla Gigafactory Nevada,1,140.06896551724137,93.5994623655914,144.13244047619045,158.32512315270935,155.58813756094986,156.84561958000154,148.78328433716342,147.86157559547573,151.38360989726107,144.9097484808502,134.09542896414348
2024-02-29,Tesla Gigafactory Texas,2,158.33908045977012,133.8051075268817,163.97023809523807,157.01438064449917,158.8561023504423,156.77445727511926,156.14381996257814,155.07551450072438,152.27730046509896,163.42216821030905,159.21800460333947
2024-02-29,Hyundai Metaplant Georgia,3,153.75574712643677,128.3319892473118,158.67857142857142,147.770871818555,154.71508682567264,141.97643987562975,158.33935272748914,151.46248916014224,157.90308823013498,158.48453966560223,141.1137622545163
2024-02-29,Rivian Normal,4,147.78735632183907,66.06854838709677,118.40625,123.92014316502463,116.2074423348311,129.02470128114834,102.86623783879864,112.99891223436403,107.62059875334543,117.55474470844193,120.47031206545492
2024-02-29,Tesla Fremont Factory,5,126.60632183908045,90.82392473118279,139.61755952380952,164.04932522577997,150.62854799496205,170.3047605673059,141.18545377798205,150.54724683366314,141.98980366538223,140.4186906913509,133.80511442404742
2024-02-29,Lucid AMP 1 Casa Grande,6,176.53879310344828,137.9798387096774,184.67410714285714,195.56647680623973,194.03880119558704,196.41514437548855,185.20152769670773,190.36956975185262,178.06774361325407,184.49263629578456,181.58640216362255
2024-02-29,GM Factory Zero,7,114.36637931034483,42.969086021505376,108.57142857142857,115.89510211412151,111.48929193233025,106.707217827779,102.20895510441567,102.40880153756575,91.35766712850246,109.11320854398727,113.79172196993237
2024-02-29,Ford Rouge Electric Vehicle Center,8,114.98132183908045,41.924731182795696,108.75892857142857,115.34788074712644,108.99183720752835,108.94304021185744,99.57534136471928,104.3503695595709,100.42457107184154,108.14249552933224,111.5059213124309
2024-02-29,BMW San Luis Potosi,9,230.89511494252872,183.4516129032258,247.31696428571428,243.07553366174054,219.27032604313666,211.09666303451223,233.16913733530433,237.35511697078906,228.31403487908742,247.16403609954864,245.89698806909786
2024-03-31,BYD Camacari,0,266.5255376344086,250.05172413793105,225.71236559139783,240.06216397849462,228.11363777606397,251.563104389614,225.52519749313274,226.53381548501474,220.35762711726534,225.1776296124263,224.9378729423969
2024-03-31,Tesla Gigafactory Nevada,1,192.7016129032258,140.06896551724137,193.01478494623655,207.5225134408602,184.5863537554216,182.74889296665157,206.09689069841528,207.65539877981615,208.1526440020154,192.53649744738334,176.7284035523472
2024-03-31,Tesla Gigafactory Texas,2,188.81854838709677,158.33908045977012,184.3077956989247,189.86559139784947,178.98314815838174,179.4289463887671,181.2478386743575,189.49622616235928,182.79503903092555,183.56263359243513,180.8903755213144
2024-03-31,Hyundai Metaplant Georgia,3,187.87231182795696,153.75574712643677,202.5268817204301,197.63037634408602,181.91378407497564,193.91423431982724,198.66736594294346,195.7141842504182,196.40423628136676,202.53391784045004,182.0640951362188
2024-03-31,Rivian Normal,4,173.11693548387098,147.78735632183907,135.6008064516129,140.80981182795696,162.57133298565145,169.3583140574849,165.08701686863938,159.7906884358535,161.69915918940978,148.36686888457308,152.24021615734904
2024-03-31,Tesla Fremont Factory,5,189.37231182795696,126.60632183908045,176.94354838709677,194.80712365591398,171.30113543678652,173.58001181275014,195.45067155926967,196.79572164334567,193.494804368766,177.7622057209706,163.7233967867276
2024-03-31,Lucid AMP 1 Casa Grande,6,233.08602150537632,176.53879310344828,224.21774193548387,238.27049731182797,224.334792519622,221.58142379574193,241.76508968664194,239.70847678431022,235.07059867946532,224.88983534502808,219.67176614593996
2024-03-31,GM Factory Zero,7,134.98387096774192,114.36637931034483,142.9784946236559,146.54569892473117,145.93849525633465,128.1383841796376,152.0060903400722,152.5530964121073,147.79125130658934,143.48273964390214,140.7807224341151
2024-03-31,Ford Rouge Electric Vehicle Center,8,135.19220430107526,114.98132183908045,140.505376344086,144.96236559139783,145.10624143592077,128.64273861565397,150.4767124684641,146.58412911230863,147.35494281809548,140.06731755864607,139.62824192283654
2024-03-31,BMW San Luis Potosi,9,295.6760752688172,230.89511494252872,291.31182795698925,293.46774193548384,279.02759260485567,257.7124280079828,274.64701208097324,275.83664703979605,269.07168086791233,291.8889333139504,285.386988297225
