Localidade,Modelo,N_teste,MAE_wm2,MSE_wm4,RMSE_wm2,R2,nRMSE_percentual
BMW San Luis Potosi,Climatologia,12,13.229691031260478,263.86709076919055,16.243986295524586,0.869412800675996,6.554779391995219
BYD Camacari,Climatologia,12,13.137358846138566,288.1127254373004,16.973883628601335,0.7943983473610645,7.185567903399831
Ford Rouge Electric Vehicle Center,LSTM,12,12.05212890420084,206.44194042331267,14.36808757014352,0.9656101465502168,8.955121697000374
GM Factory Zero,LSTM,12,12.27377981627208,204.17773965249592,14.28907763477041,0.9656766725612875,8.915093039815694
Hyundai Metaplant Georgia,Climatologia,12,11.096989496982978,164.05475239992938,12.808386018539938,0.9454370047973347,6.4576021241687735
Lucid AMP 1 Casa Grande,Sazonal ingenuo,12,7.817216283451335,124.95773661883669,11.178449651845138,0.9774793023789733,4.533461824800721
Rivian Normal,LSTM,12,15.146629933065647,320.75424340529975,17.909613156215848,0.9456322456643519,9.95532846368512
Tesla Fremont Factory,RNN,12,6.286124529595553,66.99595598254321,8.185105740461953,0.9924944295167465,3.709793116153774
Tesla Gigafactory Nevada,LSTM,12,8.064062444374734,101.22940506398805,10.061282476105522,0.9885009470545085,4.528947645152207
Tesla Gigafactory Texas,DeepAR,12,10.035633815657073,206.62147084351707,14.37433375303068,0.9378812467957028,6.8813903444849265
