data,ghi_real_normalizado,ghi_previsto_deepnpts_aprox_normalizado,ghi_real_wm2,ghi_previsto_deepnpts_aprox_wm2
2024-01-31,0.08661417322834646,0.12712406,137.9798387096774,148.2212568440845
2024-02-29,0.2440944881889764,0.31221968,176.53879310344828,193.44138637674592
2024-03-31,0.47244094488188976,0.45544252,233.08602150537632,228.4317076260084
2024-04-30,0.8267716535433071,0.7675651,319.31111111111113,304.6853870170652
2024-05-31,0.952755905511811,0.9452756,350.38440860215053,348.10128844071943
2024-06-30,0.8740157480314961,0.9610202,331.58194444444445,351.94779406511174
2024-07-31,0.8503937007874016,0.7579799,324.9180107526882,302.3436710887298
2024-08-31,0.6771653543307087,0.7053804,283.14516129032256,289.4932406348968
2024-09-30,0.6456692913385826,0.6028963,274.7944444444445,264.4556707784934
2024-10-31,0.41732283464566927,0.41178128,219.50134408602148,217.7649681940715
2024-11-30,0.1889763779527559,0.20892495,163.96944444444443,168.20577572347818
2024-12-31,0.11023622047244094,0.065934636,143.70698924731184,133.27226196713247
