data,ghi_real_normalizado,ghi_previsto_dilatedrnn_normalizado,ghi_real_wm2,ghi_previsto_dilatedrnn_wm2
2024-01-31,0.08661417322834646,0.12795122,137.9798387096774,148.42333854691435
2024-02-29,0.2440944881889764,0.22614221,176.53879310344828,172.4120712374828
2024-03-31,0.47244094488188976,0.40816557,233.08602150537632,216.88162615002807
2024-04-30,0.8267716535433071,0.78288925,319.31111111111113,308.4291881017307
2024-05-31,0.952755905511811,0.93302554,350.38440860215053,345.1085133926923
2024-06-30,0.8740157480314961,0.9215223,331.58194444444445,342.2981979905998
2024-07-31,0.8503937007874016,0.8091815,324.9180107526882,314.85256853891156
2024-08-31,0.6771653543307087,0.7419904,283.14516129032256,298.4373163705792
2024-09-30,0.6456692913385826,0.5872584,274.7944444444445,260.635230817806
2024-10-31,0.41732283464566927,0.46619612,219.50134408602148,231.05888625738282
2024-11-30,0.1889763779527559,0.21090995,163.96944444444443,168.6907244843441
2024-12-31,0.11023622047244094,0.10517629,143.70698924731184,142.8592676846501
