data,ghi_real_normalizado,ghi_previsto_deepar_exp_normalizado,ghi_real_wm2,ghi_previsto_deepar_exp_wm2
2023-10-26,0.8661417322834646,0.7524893,304.7916666666667,268.87002035975456
2023-10-27,0.7559055118110236,0.7759124,270.0833333333333,276.37028438349563
2023-10-28,0.8188976377952756,0.77005315,289.0833333333333,274.4941018521786
2023-10-29,0.8582677165354331,0.75916564,301.625,271.0078324625889
2023-10-30,0.9212598425196851,0.7428905,322.875,265.79638821383315
2023-10-31,0.8503937007874016,0.77329046,300.75,275.5307145540913
2023-11-01,0.8661417322834646,0.7802655,304.875,277.76418520758546
2023-11-02,0.6377952755905512,0.777726,232.625,276.9510111833612
2023-11-03,0.7244094488188977,0.73075414,259.375,261.9102309644222
2023-11-04,0.8110236220472441,0.7163024,286.9583333333333,257.2826626896858
2023-11-05,0.7952755905511811,0.72177714,281.7083333333333,259.0357220545411
2023-11-06,0.6456692913385826,0.7479152,235.625,267.40534900377196
2023-11-07,0.36220472440944884,0.7207805,144.16666666666666,258.7165866543849
2023-11-08,0.8110236220472441,0.597285,288.5416666666667,219.17229228963453
2023-11-09,0.6850393700787402,0.6002087,246.375,220.10849405080077
2023-11-10,0.968503937007874,0.6309616,337.5833333333333,229.9558280284206
2023-11-11,0.9606299212598425,0.7594677,336.375,271.10455982387066
2023-11-12,0.9763779527559056,0.77766985,341.2916666666667,276.93303226182854
2023-11-13,0.968503937007874,0.79026103,339.0416666666667,280.96483404437697
2023-11-14,0.8740157480314961,0.7813057,307.375,278.0972533176342
2023-11-15,0.6929133858267716,0.78942657,249.33333333333331,280.69763138890266
2023-11-16,0.8188976377952756,0.7524339,289.375,268.8522704690695
2023-11-17,0.8110236220472441,0.7570035,287.0833333333333,270.31549129635096
2023-11-18,0.8110236220472441,0.75266904,287.0,268.92756436020136
2023-11-19,0.9291338582677166,0.7644617,325.0,272.7036722873648
2023-11-20,0.7559055118110236,0.77751446,270.7916666666667,276.8832753101984
2023-11-21,0.7952755905511811,0.76327646,282.7083333333333,272.3241490870714
2023-11-22,0.6614173228346457,0.7471621,239.16666666666663,267.16419860720634
2023-11-23,0.8740157480314961,0.7146189,307.6666666666667,256.7436004181703
2023-11-24,0.968503937007874,0.7403052,339.0416666666667,264.9685562153657
2023-11-25,0.9763779527559056,0.77010065,340.0833333333333,274.5093133176366
2023-11-26,0.905511811023622,0.7952121,318.0833333333333,282.5502046570182
2023-11-27,0.84251968503937,0.78980535,296.75,280.81892230858404
2023-11-28,0.84251968503937,0.7808316,298.375,277.9454440375169
2023-11-29,0.9763779527559056,0.7636149,339.9583333333333,272.4325188497702
2023-11-30,0.952755905511811,0.78426903,333.125,279.04614720493555
2023-12-01,0.952755905511811,0.79445136,331.9166666666667,282.30661126474536
2023-12-02,0.9291338582677166,0.7990376,325.0833333333333,283.77515705923236
2023-12-03,0.968503937007874,0.79461807,337.9583333333333,282.3599945381284
2023-12-04,0.8976377952755905,0.7945352,315.0416666666667,282.3334651316205
2023-12-05,0.905511811023622,0.7905253,317.5,281.0494609425465
2023-12-06,0.7795275590551181,0.79259634,277.0,281.7126197616259
2023-12-07,0.5590551181102362,0.77658534,206.375,276.5857642392317
2023-12-08,0.6771653543307087,0.72582275,246.0,260.3311587000887
2023-12-09,0.8976377952755905,0.68273276,314.5833333333333,246.53338614851234
2023-12-10,0.6299212598425197,0.7311678,230.45833333333331,262.04268713792163
2023-12-11,0.9133858267716536,0.7218256,319.25,259.0512388944626
2023-12-12,0.5748031496062992,0.759629,212.58333333333331,271.15620627999306
2023-12-13,0.8346456692913385,0.68816525,295.5833333333333,248.27291360745826
2023-12-14,0.8110236220472441,0.7102969,286.4583333333333,255.35966243594882
2023-12-15,0.7322834645669292,0.71578515,261.875,257.11703521509963
2023-12-16,0.7086614173228346,0.74711937,253.83333333333331,267.15051401406527
2023-12-17,0.84251968503937,0.7011866,296.9166666666667,252.4424583589037
2023-12-18,0.8661417322834646,0.7410363,305.0,265.2026639133692
2023-12-19,0.8031496062992126,0.7384218,286.25,264.36547982196015
2023-12-20,0.41732283464566927,0.76323366,160.54166666666666,272.31044540802634
2023-12-21,0.28346456692913385,0.66476744,117.5,240.78074200699726
2023-12-22,0.5669291338582677,0.51051044,210.625,191.38636529445645
2023-12-23,0.9133858267716536,0.4862079,319.25,183.60448875774938
2023-12-24,0.7637795275590551,0.63799363,273.0,232.2075448061029
2023-12-25,0.9291338582677166,0.73028344,324.4166666666667,261.75950958083075
2023-12-26,0.8661417322834646,0.7701203,306.2083333333333,274.5156116659442
