tarefa,resolucao,tipo_horizonte,horizonte,localidade,metrica,valor_timesnet,valor_dilatedrnn,diferenca_timesnet_menos_dilatedrnn,melhor_timesnet,unidade_pareamento
monthly_1,mensal,cumulativo,1,BMW San Luis Potosi,MAE_wm2,25.453876358412515,19.796370246177897,5.657506112234618,False,localidade
monthly_1,mensal,cumulativo,1,BYD Camacari,MAE_wm2,14.395833359207424,14.80729484384724,-0.41146148463981547,True,localidade
monthly_1,mensal,cumulativo,1,Ford Rouge Electric Vehicle Center,MAE_wm2,12.83816575528534,12.06462652123728,0.7735392340480605,False,localidade
monthly_1,mensal,cumulativo,1,GM Factory Zero,MAE_wm2,12.384609013118203,12.05508387201676,0.32952514110144193,False,localidade
monthly_1,mensal,cumulativo,1,Hyundai Metaplant Georgia,MAE_wm2,13.35320400741191,12.393087429061978,0.9601165783499308,False,localidade
monthly_1,mensal,cumulativo,1,Lucid AMP 1 Casa Grande,MAE_wm2,10.67923149092303,9.741841120513053,0.9373903704099771,False,localidade
monthly_1,mensal,cumulativo,1,Rivian Normal,MAE_wm2,15.98192820881855,17.07477396723475,-1.0928457584162015,True,localidade
monthly_1,mensal,cumulativo,1,Tesla Fremont Factory,MAE_wm2,8.752799341685325,9.060364741742093,-0.30756540005676847,True,localidade
monthly_1,mensal,cumulativo,1,Tesla Gigafactory Nevada,MAE_wm2,9.449654540399669,10.687839428405391,-1.2381848880057227,True,localidade
monthly_1,mensal,cumulativo,1,Tesla Gigafactory Texas,MAE_wm2,16.030806341080577,12.372233653116709,3.6585726879638685,False,localidade
monthly_1,mensal,lead_exato,1,BMW San Luis Potosi,MAE_wm2,25.453876358412515,19.796370246177897,5.657506112234618,False,localidade
monthly_1,mensal,lead_exato,1,BYD Camacari,MAE_wm2,14.395833359207424,14.80729484384724,-0.41146148463981547,True,localidade
monthly_1,mensal,lead_exato,1,Ford Rouge Electric Vehicle Center,MAE_wm2,12.83816575528534,12.06462652123728,0.7735392340480605,False,localidade
monthly_1,mensal,lead_exato,1,GM Factory Zero,MAE_wm2,12.384609013118203,12.05508387201676,0.32952514110144193,False,localidade
monthly_1,mensal,lead_exato,1,Hyundai Metaplant Georgia,MAE_wm2,13.35320400741191,12.393087429061978,0.9601165783499308,False,localidade
monthly_1,mensal,lead_exato,1,Lucid AMP 1 Casa Grande,MAE_wm2,10.67923149092303,9.741841120513053,0.9373903704099771,False,localidade
monthly_1,mensal,lead_exato,1,Rivian Normal,MAE_wm2,15.98192820881855,17.07477396723475,-1.0928457584162015,True,localidade
monthly_1,mensal,lead_exato,1,Tesla Fremont Factory,MAE_wm2,8.752799341685325,9.060364741742093,-0.30756540005676847,True,localidade
monthly_1,mensal,lead_exato,1,Tesla Gigafactory Nevada,MAE_wm2,9.449654540399669,10.687839428405391,-1.2381848880057227,True,localidade
monthly_1,mensal,lead_exato,1,Tesla Gigafactory Texas,MAE_wm2,16.030806341080577,12.372233653116709,3.6585726879638685,False,localidade
monthly_1,mensal,cumulativo,1,BMW San Luis Potosi,RMSE_wm2,30.907130292670296,23.391545690243433,7.515584602426863,False,localidade
monthly_1,mensal,cumulativo,1,BYD Camacari,RMSE_wm2,19.092975771899646,19.809026381074272,-0.7160506091746264,True,localidade
monthly_1,mensal,cumulativo,1,Ford Rouge Electric Vehicle Center,RMSE_wm2,15.471357603613974,14.979067426746763,0.4922901768672112,False,localidade
monthly_1,mensal,cumulativo,1,GM Factory Zero,RMSE_wm2,14.431484351779746,14.597157572833687,-0.16567322105394133,True,localidade
monthly_1,mensal,cumulativo,1,Hyundai Metaplant Georgia,RMSE_wm2,19.460859819961836,16.59251755263895,2.8683422673228876,False,localidade
monthly_1,mensal,cumulativo,1,Lucid AMP 1 Casa Grande,RMSE_wm2,12.66039780654765,11.609734131778632,1.0506636747690177,False,localidade
monthly_1,mensal,cumulativo,1,Rivian Normal,RMSE_wm2,20.229211564882608,19.795551279352715,0.4336602855298928,False,localidade
monthly_1,mensal,cumulativo,1,Tesla Fremont Factory,RMSE_wm2,11.108354991276679,11.558200774058307,-0.4498457827816278,True,localidade
monthly_1,mensal,cumulativo,1,Tesla Gigafactory Nevada,RMSE_wm2,12.499388102514818,12.053125847743846,0.44626225477097137,False,localidade
monthly_1,mensal,cumulativo,1,Tesla Gigafactory Texas,RMSE_wm2,19.23607817267541,15.79913275364694,3.4369454190284685,False,localidade
monthly_1,mensal,lead_exato,1,BMW San Luis Potosi,RMSE_wm2,30.907130292670296,23.391545690243433,7.515584602426863,False,localidade
monthly_1,mensal,lead_exato,1,BYD Camacari,RMSE_wm2,19.092975771899646,19.809026381074272,-0.7160506091746264,True,localidade
monthly_1,mensal,lead_exato,1,Ford Rouge Electric Vehicle Center,RMSE_wm2,15.471357603613974,14.979067426746763,0.4922901768672112,False,localidade
monthly_1,mensal,lead_exato,1,GM Factory Zero,RMSE_wm2,14.431484351779746,14.597157572833687,-0.16567322105394133,True,localidade
monthly_1,mensal,lead_exato,1,Hyundai Metaplant Georgia,RMSE_wm2,19.460859819961836,16.59251755263895,2.8683422673228876,False,localidade
monthly_1,mensal,lead_exato,1,Lucid AMP 1 Casa Grande,RMSE_wm2,12.66039780654765,11.609734131778632,1.0506636747690177,False,localidade
monthly_1,mensal,lead_exato,1,Rivian Normal,RMSE_wm2,20.229211564882608,19.795551279352715,0.4336602855298928,False,localidade
monthly_1,mensal,lead_exato,1,Tesla Fremont Factory,RMSE_wm2,11.108354991276679,11.558200774058307,-0.4498457827816278,True,localidade
monthly_1,mensal,lead_exato,1,Tesla Gigafactory Nevada,RMSE_wm2,12.499388102514818,12.053125847743846,0.44626225477097137,False,localidade
monthly_1,mensal,lead_exato,1,Tesla Gigafactory Texas,RMSE_wm2,19.23607817267541,15.79913275364694,3.4369454190284685,False,localidade
monthly_1,mensal,cumulativo,1,BMW San Luis Potosi,nRMSE,0.12471656741323871,0.09438965239904355,0.030326915014195155,False,localidade
monthly_1,mensal,cumulativo,1,BYD Camacari,nRMSE,0.0808264489462909,0.0838577117885448,-0.0030312628422538984,True,localidade
monthly_1,mensal,cumulativo,1,Ford Rouge Electric Vehicle Center,nRMSE,0.09642750996754258,0.09335923909222536,0.0030682708753172194,False,localidade
monthly_1,mensal,cumulativo,1,GM Factory Zero,nRMSE,0.09003941963628151,0.0910730708054442,-0.0010336511691626943,True,localidade
monthly_1,mensal,cumulativo,1,Hyundai Metaplant Georgia,nRMSE,0.09811578776070894,0.08365447085439996,0.014461316906308974,False,localidade
monthly_1,mensal,cumulativo,1,Lucid AMP 1 Casa Grande,nRMSE,0.05134471464020145,0.047083708991868575,0.004261005648332872,False,localidade
monthly_1,mensal,cumulativo,1,Rivian Normal,nRMSE,0.11244712333443985,0.11003655723522117,0.002410566099218678,False,localidade
monthly_1,mensal,cumulativo,1,Tesla Fremont Factory,nRMSE,0.05034717995890218,0.052386047693795915,-0.002038867734893736,True,localidade
monthly_1,mensal,cumulativo,1,Tesla Gigafactory Nevada,nRMSE,0.05626427250786068,0.05425548448508103,0.0020087880227796506,False,localidade
monthly_1,mensal,cumulativo,1,Tesla Gigafactory Texas,nRMSE,0.09208841670627854,0.07563481014972916,0.016453606556549386,False,localidade
monthly_1,mensal,lead_exato,1,BMW San Luis Potosi,nRMSE,0.12471656741323871,0.09438965239904355,0.030326915014195155,False,localidade
monthly_1,mensal,lead_exato,1,BYD Camacari,nRMSE,0.0808264489462909,0.0838577117885448,-0.0030312628422538984,True,localidade
monthly_1,mensal,lead_exato,1,Ford Rouge Electric Vehicle Center,nRMSE,0.09642750996754258,0.09335923909222536,0.0030682708753172194,False,localidade
monthly_1,mensal,lead_exato,1,GM Factory Zero,nRMSE,0.09003941963628151,0.0910730708054442,-0.0010336511691626943,True,localidade
monthly_1,mensal,lead_exato,1,Hyundai Metaplant Georgia,nRMSE,0.09811578776070894,0.08365447085439996,0.014461316906308974,False,localidade
monthly_1,mensal,lead_exato,1,Lucid AMP 1 Casa Grande,nRMSE,0.05134471464020145,0.047083708991868575,0.004261005648332872,False,localidade
monthly_1,mensal,lead_exato,1,Rivian Normal,nRMSE,0.11244712333443985,0.11003655723522117,0.002410566099218678,False,localidade
monthly_1,mensal,lead_exato,1,Tesla Fremont Factory,nRMSE,0.05034717995890218,0.052386047693795915,-0.002038867734893736,True,localidade
monthly_1,mensal,lead_exato,1,Tesla Gigafactory Nevada,nRMSE,0.05626427250786068,0.05425548448508103,0.0020087880227796506,False,localidade
monthly_1,mensal,lead_exato,1,Tesla Gigafactory Texas,nRMSE,0.09208841670627854,0.07563481014972916,0.016453606556549386,False,localidade
monthly_1,mensal,cumulativo,1,BMW San Luis Potosi,R2,0.5272487050751652,0.7292096384050968,-0.2019609333299316,False,localidade
monthly_1,mensal,cumulativo,1,BYD Camacari,R2,0.7398574220614881,0.7199790933062864,0.01987832875520168,True,localidade
monthly_1,mensal,cumulativo,1,Ford Rouge Electric Vehicle Center,R2,0.9601260507259631,0.9626232139590072,-0.002497163233044053,False,localidade
monthly_1,mensal,cumulativo,1,GM Factory Zero,R2,0.9649891217002499,0.9641806589131159,0.0008084627871339789,True,localidade
monthly_1,mensal,cumulativo,1,Hyundai Metaplant Georgia,R2,0.8740397744121848,0.9084340611884957,-0.034394286776310845,False,localidade
monthly_1,mensal,cumulativo,1,Lucid AMP 1 Casa Grande,R2,0.9711122683515973,0.975707999259934,-0.004595730908336759,False,localidade
monthly_1,mensal,cumulativo,1,Rivian Normal,R2,0.9306371542532423,0.9335791863636469,-0.0029420321104045577,False,localidade
monthly_1,mensal,cumulativo,1,Tesla Fremont Factory,R2,0.9861759712181654,0.9850336603319569,0.0011423108862084197,True,localidade
monthly_1,mensal,cumulativo,1,Tesla Gigafactory Nevada,R2,0.982252675420631,0.9834973089835883,-0.0012446335629573424,False,localidade
monthly_1,mensal,cumulativo,1,Tesla Gigafactory Texas,R2,0.888755027071286,0.9249563715300576,-0.036201344458771656,False,localidade
monthly_1,mensal,lead_exato,1,BMW San Luis Potosi,R2,0.5272487050751652,0.7292096384050968,-0.2019609333299316,False,localidade
monthly_1,mensal,lead_exato,1,BYD Camacari,R2,0.7398574220614881,0.7199790933062864,0.01987832875520168,True,localidade
monthly_1,mensal,lead_exato,1,Ford Rouge Electric Vehicle Center,R2,0.9601260507259631,0.9626232139590072,-0.002497163233044053,False,localidade
monthly_1,mensal,lead_exato,1,GM Factory Zero,R2,0.9649891217002499,0.9641806589131159,0.0008084627871339789,True,localidade
monthly_1,mensal,lead_exato,1,Hyundai Metaplant Georgia,R2,0.8740397744121848,0.9084340611884957,-0.034394286776310845,False,localidade
monthly_1,mensal,lead_exato,1,Lucid AMP 1 Casa Grande,R2,0.9711122683515973,0.975707999259934,-0.004595730908336759,False,localidade
monthly_1,mensal,lead_exato,1,Rivian Normal,R2,0.9306371542532423,0.9335791863636469,-0.0029420321104045577,False,localidade
monthly_1,mensal,lead_exato,1,Tesla Fremont Factory,R2,0.9861759712181654,0.9850336603319569,0.0011423108862084197,True,localidade
monthly_1,mensal,lead_exato,1,Tesla Gigafactory Nevada,R2,0.982252675420631,0.9834973089835883,-0.0012446335629573424,False,localidade
monthly_1,mensal,lead_exato,1,Tesla Gigafactory Texas,R2,0.888755027071286,0.9249563715300576,-0.036201344458771656,False,localidade
