tarefa,fase,modelo,semente,epoca,mse_treino_normalizado,mse_validacao_normalizado
monthly_1,selecao_epocas,LSTM,11,1,0.3456324617067973,0.28302127520243325
monthly_1,selecao_epocas,LSTM,11,2,0.23827066587077247,0.19161400596300762
monthly_1,selecao_epocas,LSTM,11,3,0.15480092217524846,0.12172511021296183
monthly_1,selecao_epocas,LSTM,11,4,0.10486069917678834,0.11517287989457449
monthly_1,selecao_epocas,LSTM,11,5,0.10136087338129679,0.10435257852077484
monthly_1,selecao_epocas,LSTM,11,6,0.09438278575738271,0.10012369652589162
monthly_1,selecao_epocas,LSTM,11,7,0.08992081019613478,0.09638211627801259
monthly_1,selecao_epocas,LSTM,11,8,0.086211363474528,0.09157715638478597
monthly_1,selecao_epocas,LSTM,11,9,0.08192738882369466,0.08716746071974436
monthly_1,selecao_epocas,LSTM,11,10,0.07776712709003025,0.08192345102628072
monthly_1,selecao_epocas,LSTM,11,11,0.07230658928553263,0.07543617685635885
monthly_1,selecao_epocas,LSTM,11,12,0.0648464153210322,0.0656816174586614
monthly_1,selecao_epocas,LSTM,11,13,0.054664952018194726,0.050495020548502606
monthly_1,selecao_epocas,LSTM,11,14,0.03693503224187427,0.0257308562596639
monthly_1,selecao_epocas,LSTM,11,15,0.01647449593163199,0.011709115157524744
monthly_1,selecao_epocas,LSTM,11,16,0.013820955653985341,0.011924048016468684
monthly_1,selecao_epocas,LSTM,11,17,0.012480236382948028,0.011608740563193958
monthly_1,selecao_epocas,LSTM,11,18,0.011438519135117531,0.01141216717660427
monthly_1,selecao_epocas,LSTM,11,19,0.011273429775610567,0.01114781821767489
monthly_1,selecao_epocas,LSTM,11,20,0.010897023556753992,0.012895350530743598
monthly_1,selecao_epocas,LSTM,11,21,0.01090044890426927,0.010723978529373806
monthly_1,selecao_epocas,LSTM,11,22,0.01088760368939903,0.011092310398817062
monthly_1,selecao_epocas,LSTM,11,23,0.01058514883948697,0.011038496593634288
monthly_1,selecao_epocas,LSTM,11,24,0.010194239910278055,0.011422916501760482
monthly_1,selecao_epocas,LSTM,11,25,0.009931955114006996,0.010060025875767072
monthly_1,selecao_epocas,LSTM,11,26,0.009722433508270317,0.010210773100455602
monthly_1,selecao_epocas,LSTM,11,27,0.009608471463434399,0.009912603596846262
monthly_1,selecao_epocas,LSTM,11,28,0.009633722404638926,0.009830873707930248
monthly_1,selecao_epocas,LSTM,11,29,0.009440938838654094,0.010170608634750049
monthly_1,selecao_epocas,LSTM,11,30,0.009425547470649083,0.01054821399350961
monthly_1,selecao_epocas,LSTM,11,31,0.0093472458422184,0.009787190457185109
monthly_1,selecao_epocas,LSTM,11,32,0.00976017742521233,0.012271301075816154
monthly_1,selecao_epocas,LSTM,11,33,0.009923756495118142,0.009880153958996137
monthly_1,selecao_epocas,LSTM,11,34,0.009427984395167894,0.009837184349695842
monthly_1,selecao_epocas,LSTM,11,35,0.009158138516876432,0.010573791215817134
monthly_1,selecao_epocas,LSTM,11,36,0.00902961345596446,0.009826195488373438
monthly_1,selecao_epocas,LSTM,11,37,0.009120671689096424,0.011045791084567706
monthly_1,selecao_epocas,LSTM,11,38,0.008984229010012414,0.009721652294198671
monthly_1,selecao_epocas,LSTM,11,39,0.009337025477240484,0.009752092013756434
monthly_1,selecao_epocas,LSTM,11,40,0.009022953340576755,0.009530337403217952
monthly_1,selecao_epocas,LSTM,11,41,0.009056043014344243,0.009540493289629618
monthly_1,selecao_epocas,LSTM,11,42,0.009317703834838337,0.010629025722543399
monthly_1,selecao_epocas,LSTM,11,43,0.008824568759236071,0.009653277198473613
monthly_1,selecao_epocas,LSTM,11,44,0.009035366908129719,0.009517968321839968
monthly_1,selecao_epocas,LSTM,11,45,0.008996106102131307,0.009677132467428844
monthly_1,selecao_epocas,LSTM,11,46,0.00884129193921884,0.010444383695721626
monthly_1,selecao_epocas,LSTM,11,47,0.009115775229616298,0.010524277637402216
monthly_1,selecao_epocas,LSTM,11,48,0.008892344372967879,0.009738606835405032
monthly_1,selecao_epocas,LSTM,11,49,0.009215035227437813,0.01203525736927986
monthly_1,selecao_epocas,LSTM,11,50,0.009257128772636255,0.010018515462676684
monthly_1,selecao_epocas,LSTM,11,51,0.00880777956917882,0.009496227403481801
monthly_1,selecao_epocas,LSTM,11,52,0.008950806559166975,0.009561630214254062
monthly_1,selecao_epocas,LSTM,11,53,0.009029448228991694,0.010203505183259647
monthly_1,selecao_epocas,LSTM,11,54,0.008652941427297063,0.009618150691191355
monthly_1,selecao_epocas,LSTM,11,55,0.008958487119525672,0.009543423106273015
monthly_1,selecao_epocas,LSTM,11,56,0.008828617570300897,0.01136209989587466
monthly_1,selecao_epocas,LSTM,11,57,0.009265369497653511,0.00976255623002847
monthly_1,selecao_epocas,LSTM,11,58,0.008965754302011596,0.009720942502220472
monthly_1,selecao_epocas,LSTM,11,59,0.008815643398298158,0.0105641753723224
monthly_1,selecao_epocas,LSTM,11,60,0.008930307957861159,0.0094108447432518
monthly_1,selecao_epocas,LSTM,11,61,0.008796200787441599,0.01072465218603611
monthly_1,selecao_epocas,LSTM,11,62,0.008822147134277555,0.009766313681999842
monthly_1,selecao_epocas,LSTM,11,63,0.008782657877438598,0.009444951638579368
monthly_1,selecao_epocas,LSTM,11,64,0.008740324635679524,0.010194530710577965
monthly_1,selecao_epocas,LSTM,11,65,0.008577313067184554,0.009595167761047681
monthly_1,selecao_epocas,LSTM,11,66,0.008662178822689586,0.009677139669656753
monthly_1,selecao_epocas,LSTM,11,67,0.00848982593872481,0.010635489970445633
monthly_1,selecao_epocas,LSTM,11,68,0.00880204803413815,0.009608790278434753
monthly_1,selecao_epocas,LSTM,11,69,0.008776601238383187,0.009758820508917172
monthly_1,selecao_epocas,LSTM,11,70,0.008899619285431173,0.010810749605298042
monthly_1,selecao_epocas,LSTM,11,71,0.008626521875460943,0.009461726372440657
monthly_1,selecao_epocas,LSTM,11,72,0.008771817696591218,0.009811198587218921
monthly_1,selecao_epocas,LSTM,11,73,0.008431383532782395,0.009557894617319106
monthly_1,selecao_epocas,LSTM,11,74,0.008496855561518007,0.010208960125843684
monthly_1,selecao_epocas,LSTM,11,75,0.00888956285909646,0.009487174823880196
monthly_1,selecao_epocas,LSTM,11,76,0.008468262768454022,0.009771797185142836
monthly_1,selecao_epocas,LSTM,11,77,0.008757788046366639,0.010402188325921694
monthly_1,selecao_epocas,LSTM,11,78,0.008593029487464163,0.0095979160318772
monthly_1,selecao_epocas,LSTM,11,79,0.008466808321989245,0.01002110242843628
monthly_1,selecao_epocas,LSTM,11,80,0.008474173572742277,0.009417533874511719
monthly_1,selecao_epocas,LSTM,11,81,0.008448121262093385,0.009632401665051778
monthly_1,selecao_epocas,LSTM,11,82,0.008414086037211948,0.010057377070188523
monthly_1,selecao_epocas,LSTM,11,83,0.008447590635882483,0.009756902605295182
monthly_1,selecao_epocas,LSTM,11,84,0.009075465922554335,0.009597890451550484
monthly_1,selecao_epocas,LSTM,11,85,0.008986502585725652,0.009472317496935527
monthly_1,selecao_epocas,LSTM,11,86,0.009022519551217556,0.01070177194972833
monthly_1,selecao_epocas,LSTM,11,87,0.008817268928719892,0.009875213851531346
monthly_1,selecao_epocas,LSTM,11,88,0.008497241760293643,0.009513003875811894
monthly_1,selecao_epocas,LSTM,11,89,0.009039605243338479,0.010688534875710805
monthly_1,selecao_epocas,LSTM,11,90,0.008585109209848774,0.00960516631603241
monthly_1,refit_epocas_fixas,LSTM,11,1,0.3399359256029129,0.3399359256029129
monthly_1,refit_epocas_fixas,LSTM,11,2,0.20977694789568582,0.20977694789568582
monthly_1,refit_epocas_fixas,LSTM,11,3,0.12259039580821991,0.12259039580821991
monthly_1,refit_epocas_fixas,LSTM,11,4,0.10592374801635743,0.10592374801635743
monthly_1,refit_epocas_fixas,LSTM,11,5,0.09679548194011052,0.09679548194011052
monthly_1,refit_epocas_fixas,LSTM,11,6,0.09171510140101115,0.09171510140101115
monthly_1,refit_epocas_fixas,LSTM,11,7,0.08682075341542562,0.08682075341542562
monthly_1,refit_epocas_fixas,LSTM,11,8,0.08265142564972242,0.08265142564972242
monthly_1,refit_epocas_fixas,LSTM,11,9,0.07720065539081891,0.07720065539081891
monthly_1,refit_epocas_fixas,LSTM,11,10,0.07156468654672304,0.07156468654672304
monthly_1,refit_epocas_fixas,LSTM,11,11,0.06379594057798385,0.06379594057798385
monthly_1,refit_epocas_fixas,LSTM,11,12,0.049774019668499626,0.049774019668499626
monthly_1,refit_epocas_fixas,LSTM,11,13,0.026390533583859604,0.026390533583859604
monthly_1,refit_epocas_fixas,LSTM,11,14,0.014968733613689741,0.014968733613689741
monthly_1,refit_epocas_fixas,LSTM,11,15,0.012956549661854904,0.012956549661854904
monthly_1,refit_epocas_fixas,LSTM,11,16,0.012472878644863765,0.012472878644863765
monthly_1,refit_epocas_fixas,LSTM,11,17,0.01126430332660675,0.01126430332660675
monthly_1,refit_epocas_fixas,LSTM,11,18,0.010722455568611622,0.010722455568611622
monthly_1,refit_epocas_fixas,LSTM,11,19,0.010321756700674693,0.010321756700674693
monthly_1,refit_epocas_fixas,LSTM,11,20,0.0099872339827319,0.0099872339827319
monthly_1,refit_epocas_fixas,LSTM,11,21,0.009717796463519335,0.009717796463519335
monthly_1,refit_epocas_fixas,LSTM,11,22,0.009565390615413586,0.009565390615413586
