tarefa,modelo,semente,epocas_selecionadas_em_2023
monthly_1,XGBoost,11,0
monthly_1,XGBoost,23,0
monthly_1,XGBoost,42,0
monthly_1,XGBoost,67,0
monthly_1,XGBoost,89,0
monthly_1,LSTM,11,60
monthly_1,LSTM,23,93
monthly_1,LSTM,42,100
monthly_1,LSTM,67,92
monthly_1,LSTM,89,68
monthly_1,TimesNet,11,46
monthly_1,TimesNet,23,57
monthly_1,TimesNet,42,76
monthly_1,TimesNet,67,39
monthly_1,TimesNet,89,34
monthly_1,DilatedRNN,11,58
monthly_1,DilatedRNN,23,45
monthly_1,DilatedRNN,42,37
monthly_1,DilatedRNN,67,69
monthly_1,DilatedRNN,89,91
