data,ghi_real,ghi_real_normalizado,ghi_real_wm2,ghi_previsto_xgboost_normalizado,ghi_previsto_xgboost_wm2,ghi_previsto_mlp_normalizado,ghi_previsto_mlp_wm2,ghi_previsto_rnn_normalizado,ghi_previsto_rnn_wm2,ghi_previsto_lstm_normalizado,ghi_previsto_lstm_wm2,ghi_previsto_vizinhoshistoricos_normalizado,ghi_previsto_vizinhoshistoricos_wm2,ghi_previsto_persistencia_normalizado,ghi_previsto_persistencia_wm2,ghi_previsto_sazonalingenuo_normalizado,ghi_previsto_sazonalingenuo_wm2,ghi_previsto_climatologia_normalizado,ghi_previsto_climatologia_wm2
2024-01-31,0.7037395819697169,0.7037395819697169,263.2258064516129,0.7295882,267.206807943041,0.7800983669547864,274.9859830342933,0.5212981,235.12761288969426,0.5756078,243.4919584496047,0.7495316152309645,270.2783335097313,0.8043810271850592,278.7258064516129,0.765527774141467,272.741935483871,0.6958262425273815,262.0070564516129
2024-02-29,0.6182003120706959,0.6182003120706959,250.05172413793105,0.65623766,255.9099361314088,0.5606931665778955,241.19492808108623,0.52178675,235.20286918784024,0.53555864,237.32390708876875,0.6420096027701189,253.71864292125548,0.7037395819697169,263.2258064516129,0.8170216744899294,280.67261904761904,0.7028963000126176,263.0959308292282
2024-03-31,0.7251647248767288,0.7251647248767288,266.5255376344086,0.5123778,233.75377694581465,0.49108636067459505,230.47463795416462,0.52163374,235.17930454800847,0.4624553,226.065108648271,0.5064172092838921,232.8357740938102,0.6182003120706959,250.05172413793105,0.46016494305537353,225.71236559139783,0.5533381332635161,240.06216397849462
2024-04-30,0.18938982705706078,0.18938982705706078,184.0097222222222,0.37255383,212.2191936572393,0.3827575562799502,213.7906916483039,0.47403488,227.84850298953796,0.43237877,221.43295865161446,0.3388118393509429,207.0225196398223,0.7251647248767288,266.5255376344086,0.3926927608325696,215.32083333333333,0.333928888307079,206.2704861111111
2024-05-31,0.2324213465985948,0.2324213465985948,190.63709677419354,0.121591926,173.5680252651694,0.2851587777231478,198.75929912017057,0.352247,209.0916968619311,0.40284035,216.88368421724888,0.14573897731335952,177.2869633272195,0.18938982705706078,184.0097222222222,0.0,154.84139784946237,0.10903695946240774,171.63440860215053
2024-06-30,0.1672956029730475,0.1672956029730475,180.60694444444442,0.18609165,183.50176252711125,0.11769714960670542,172.96818264473703,0.33045948,205.73615457277785,0.41055238,218.07143110918102,0.14728990390174135,177.525824783039,0.2324213465985948,190.63709677419354,0.13604805748280008,175.79444444444442,0.14716505941731747,177.5065972222222
2024-07-31,0.3150674172012042,0.3150674172012042,203.36559139784944,0.22654235,189.73166074018965,0.19682068223580385,185.1541638091258,0.3746965,212.5491904132469,0.42446604,220.2143032507951,0.2774266794383324,197.568462450862,0.1672956029730475,180.60694444444442,0.2682288257625343,196.1518817204301,0.20089453244316444,185.78158602150538
2024-08-31,0.4500152725051272,0.4500152725051272,224.1491935483871,0.395278,215.71899248423276,0.4292626074737431,220.95303209325115,0.45296335,224.6032334841708,0.44778642,223.80592339057276,0.46031023431157375,225.7347422024082,0.3150674172012042,203.36559139784944,0.4018239734694767,216.7271505376344,0.39608151154165006,215.84274193548384
2024-09-30,0.6061049293828451,0.6061049293828451,248.18888888888887,0.51222247,233.72985429236647,0.6281284747943511,251.58078129611658,0.52100414,235.0823379369673,0.48501396,229.53941506980567,0.6443362359858553,254.07697258123554,0.4500152725051272,224.1491935483871,0.6139686695466248,249.4,0.5812354002123605,244.35868055555557
2024-10-31,0.7298861107474799,0.7298861107474799,267.252688172043,0.635377,252.6971402970213,0.6241764652064677,250.97212401301493,0.5215988,235.17392516392533,0.5262336,235.88774005628082,0.7095903227555581,264.12689130772264,0.6061049293828451,248.18888888888887,0.8784744949164374,290.13709677419354,0.7501090893223372,270.3672715053764
2024-11-30,0.6425198178935579,0.6425198178935579,253.79722222222225,0.70406276,263.27557975862936,0.7242040093894194,266.3775758278046,0.5204172,234.99194408873078,0.55779994,240.7493354718211,0.7074137087787378,263.7916664252845,0.7298861107474799,267.252688172043,0.8874230193015373,291.5152777777778,0.6190210324213464,250.178125
2024-12-31,0.961033294061177,0.961033294061177,302.8521505376344,0.73523724,268.0768269302063,0.7230260028537511,266.19614857123264,0.5211961,235.1119061897519,0.56364584,241.64967545834924,0.7426056110052077,269.21164507665554,0.6425198178935579,253.79722222222225,0.8043810271850592,278.7258064516129,0.7266112492909191,266.7483198924731
