data,ghi_real_normalizado,ghi_previsto_rnn_normalizado,ghi_real_wm2,ghi_previsto_rnn_wm2
2024-01-31,0.7037395819697169,0.5212981,263.2258064516129,235.12761288969426
2024-02-29,0.6182003120706959,0.52178675,250.05172413793105,235.20286918784024
2024-03-31,0.7251647248767288,0.52163374,266.5255376344086,235.17930454800847
2024-04-30,0.18938982705706078,0.47403488,184.0097222222222,227.84850298953796
2024-05-31,0.2324213465985948,0.352247,190.63709677419354,209.0916968619311
2024-06-30,0.1672956029730475,0.33045948,180.60694444444442,205.73615457277785
2024-07-31,0.3150674172012042,0.3746965,203.36559139784944,212.5491904132469
2024-08-31,0.4500152725051272,0.45296335,224.1491935483871,224.6032334841708
2024-09-30,0.6061049293828451,0.52100414,248.18888888888887,235.0823379369673
2024-10-31,0.7298861107474799,0.5215988,267.252688172043,235.17392516392533
2024-11-30,0.6425198178935579,0.5204172,253.79722222222225,234.99194408873078
2024-12-31,0.961033294061177,0.5211961,302.8521505376344,235.1119061897519
