data,ghi_real_normalizado,ghi_previsto_climatologia_normalizado,ghi_real_wm2,ghi_previsto_climatologia_wm2
2024-01-31,0.7037395819697169,0.6958262425273815,263.2258064516129,262.0070564516129
2024-02-29,0.6182003120706959,0.7028963000126176,250.05172413793105,263.0959308292282
2024-03-31,0.7251647248767288,0.5533381332635161,266.5255376344086,240.06216397849462
2024-04-30,0.18938982705706078,0.333928888307079,184.0097222222222,206.2704861111111
2024-05-31,0.2324213465985948,0.10903695946240774,190.63709677419354,171.63440860215053
2024-06-30,0.1672956029730475,0.14716505941731747,180.60694444444442,177.5065972222222
2024-07-31,0.3150674172012042,0.20089453244316444,203.36559139784944,185.78158602150538
2024-08-31,0.4500152725051272,0.39608151154165006,224.1491935483871,215.84274193548384
2024-09-30,0.6061049293828451,0.5812354002123605,248.18888888888887,244.35868055555557
2024-10-31,0.7298861107474799,0.7501090893223372,267.252688172043,270.3672715053764
2024-11-30,0.6425198178935579,0.6190210324213464,253.79722222222225,250.178125
2024-12-31,0.961033294061177,0.7266112492909191,302.8521505376344,266.7483198924731
