data,ghi_real_normalizado,ghi_previsto_vizinhoshistoricos_normalizado,ghi_real_wm2,ghi_previsto_vizinhoshistoricos_wm2
2024-01-31,0.7037395819697169,0.7495316152309645,263.2258064516129,270.2783335097313
2024-02-29,0.6182003120706959,0.6420096027701189,250.05172413793105,253.71864292125548
2024-03-31,0.7251647248767288,0.5064172092838921,266.5255376344086,232.8357740938102
2024-04-30,0.18938982705706078,0.3388118393509429,184.0097222222222,207.0225196398223
2024-05-31,0.2324213465985948,0.14573897731335952,190.63709677419354,177.2869633272195
2024-06-30,0.1672956029730475,0.14728990390174135,180.60694444444442,177.525824783039
2024-07-31,0.3150674172012042,0.2774266794383324,203.36559139784944,197.568462450862
2024-08-31,0.4500152725051272,0.46031023431157375,224.1491935483871,225.7347422024082
2024-09-30,0.6061049293828451,0.6443362359858553,248.18888888888887,254.07697258123554
2024-10-31,0.7298861107474799,0.7095903227555581,267.252688172043,264.12689130772264
2024-11-30,0.6425198178935579,0.7074137087787378,253.79722222222225,263.7916664252845
2024-12-31,0.961033294061177,0.7426056110052077,302.8521505376344,269.21164507665554
