data,ghi_real_normalizado,ghi_previsto_persistencia_normalizado,ghi_real_wm2,ghi_previsto_persistencia_wm2
2024-01-31,0.7037395819697169,0.8043810271850592,263.2258064516129,278.7258064516129
2024-02-29,0.6182003120706959,0.7037395819697169,250.05172413793105,263.2258064516129
2024-03-31,0.7251647248767288,0.6182003120706959,266.5255376344086,250.05172413793105
2024-04-30,0.18938982705706078,0.7251647248767288,184.0097222222222,266.5255376344086
2024-05-31,0.2324213465985948,0.18938982705706078,190.63709677419354,184.0097222222222
2024-06-30,0.1672956029730475,0.2324213465985948,180.60694444444442,190.63709677419354
2024-07-31,0.3150674172012042,0.1672956029730475,203.36559139784944,180.60694444444442
2024-08-31,0.4500152725051272,0.3150674172012042,224.1491935483871,203.36559139784944
2024-09-30,0.6061049293828451,0.4500152725051272,248.18888888888887,224.1491935483871
2024-10-31,0.7298861107474799,0.6061049293828451,267.252688172043,248.18888888888887
2024-11-30,0.6425198178935579,0.7298861107474799,253.79722222222225,267.252688172043
2024-12-31,0.961033294061177,0.6425198178935579,302.8521505376344,253.79722222222225
