data,ghi_real,ghi_real_normalizado,ghi_real_wm2,ghi_previsto_xgboost_normalizado,ghi_previsto_xgboost_wm2,ghi_previsto_mlp_normalizado,ghi_previsto_mlp_wm2,ghi_previsto_rnn_normalizado,ghi_previsto_rnn_wm2,ghi_previsto_lstm_normalizado,ghi_previsto_lstm_wm2,ghi_previsto_vizinhoshistoricos_normalizado,ghi_previsto_vizinhoshistoricos_wm2,ghi_previsto_persistencia_normalizado,ghi_previsto_persistencia_wm2,ghi_previsto_sazonalingenuo_normalizado,ghi_previsto_sazonalingenuo_wm2,ghi_previsto_climatologia_normalizado,ghi_previsto_climatologia_wm2
2024-01-31,0.08520375013135136,0.08520375013135136,137.9798387096774,0.10917622,143.83647706190587,0.11921841766603014,146.28985515345914,0.2725403,183.74744226937736,0.4941021,237.87650621764521,0.09752141015773266,140.98912748969514,0.07129012682908582,134.58064516129033,0.09747238594157372,140.9771505376344,0.12518959993794157,147.7486559139785
2024-02-29,0.24303376443540078,0.24303376443540078,176.53879310344828,0.29181615,188.4566631151103,0.2853349774910605,186.8732694209387,0.33467877,198.9282959575775,0.49320158,237.65650619124614,0.25729068678855754,180.02185696322772,0.08520375013135136,137.9798387096774,0.2763333378132323,184.67410714285714,0.3209181271781222,195.56647680623973
2024-03-31,0.4744936161831558,0.4744936161831558,233.08602150537632,0.45718226,228.85673812445535,0.5059876768320949,240.78023640861824,0.462703,230.2054906029535,0.49496236,238.0866770133176,0.43415454172825035,223.23090909819385,0.24303376443540078,176.53879310344828,0.4381938587500405,224.21774193548387,0.49571478007507525,238.27049731182797
2024-04-30,0.8274312759252871,0.8274312759252871,319.31111111111113,0.78512967,308.976537915888,0.7698422686921319,305.24172188069525,0.5212676,244.51322464706595,0.49841487,238.9301487851688,0.686141562076702,284.793065499702,0.4744936161831558,233.08602150537632,0.822741136002321,318.1652777777778,0.8059717538959338,314.0684027777778
2024-05-31,0.9546209019042792,0.9546209019042792,350.38440860215053,0.9389464,346.5550266719073,0.95347280829843,350.10392146424505,0.54609317,250.57828229833194,0.5031983,240.09877879037174,0.9291525810492857,344.1623232360439,0.8274312759252871,319.31111111111113,0.93442991830629,345.4516129032258,0.9537090066641248,350.161626344086
2024-06-30,0.8776584107366884,0.8776584107366884,331.58194444444445,0.95165104,349.65885018441145,0.9591895055765103,351.5005497963179,0.5806411,259.0185771951672,0.5065105,240.90796474926577,0.9419519526738579,347.289297461555,0.9546209019042792,350.38440860215053,1.0,361.47083333333336,0.9534254893104238,350.09236111111113
2024-07-31,0.8503815105606546,0.8503815105606546,324.9180107526882,0.83322066,320.72549749357245,0.8100353029244918,315.0611556604277,0.5837504,259.7782092693753,0.507659,241.18855652241137,0.7904906252090091,310.28625691892194,0.8776584107366884,331.58194444444445,0.8686524251461919,329.3817204301075,0.7746158073945212,306.40793010752685
2024-08-31,0.6793963391050937,0.6793963391050937,283.14516129032256,0.6856579,284.67490804718545,0.7026329745301009,288.8220306080398,0.5707408,256.59987290705084,0.50772876,241.20559385567105,0.7133563982642839,291.4418365336408,0.8503815105606546,324.9180107526882,0.6704066750181414,280.9489247311828,0.7040656498553346,289.1720430107527
2024-09-30,0.6452150761544851,0.6452150761544851,274.7944444444445,0.60110503,264.01805886471624,0.5727354015983696,257.0871631139066,0.53647625,248.2288049181783,0.5062459,240.84332481564212,0.5767374304453791,258.0648861944933,0.6793963391050937,283.14516129032256,0.5743001605192364,257.46944444444443,0.570449982018838,256.5288194444445
2024-10-31,0.41888863764776674,0.41888863764776674,219.50134408602148,0.42199016,220.2590663223177,0.4118775683764526,217.7884918032904,0.47183633,232.43682791068352,0.5046393,240.4508254304448,0.4448491826233559,225.84368317890653,0.6452150761544851,274.7944444444445,0.43639482560656834,223.7782258064516,0.4063958103984114,216.44926075268813
2024-11-30,0.1915847428051969,0.1915847428051969,163.96944444444443,0.18714781,162.88547160346462,0.20711521402117253,167.76364502138256,0.33703002,199.50272348215904,0.501602,239.7087840387818,0.2267367313810649,172.55731621474098,0.41888863764776674,219.50134408602148,0.18974279694454116,163.51944444444445,0.18830164485912068,163.16736111111112
2024-12-31,0.10864619730057004,0.10864619730057004,143.70698924731184,0.08483176,137.88895880785242,0.0836210134598071,137.59316529141455,0.2789969,185.32483721640244,0.4974625,238.69747997249968,0.08304357793421643,137.45209383428536,0.1915847428051969,163.96944444444443,0.07129012682908582,134.58064516129033,0.059362592104170005,131.66666666666666
