data,ghi_real_normalizado,ghi_previsto_mlp_normalizado,ghi_real_wm2,ghi_previsto_mlp_wm2
2024-01-31,0.08520375013135136,0.11921841766603014,137.9798387096774,146.28985515345914
2024-02-29,0.24303376443540078,0.2853349774910605,176.53879310344828,186.8732694209387
2024-03-31,0.4744936161831558,0.5059876768320949,233.08602150537632,240.78023640861824
2024-04-30,0.8274312759252871,0.7698422686921319,319.31111111111113,305.24172188069525
2024-05-31,0.9546209019042792,0.95347280829843,350.38440860215053,350.10392146424505
2024-06-30,0.8776584107366884,0.9591895055765103,331.58194444444445,351.5005497963179
2024-07-31,0.8503815105606546,0.8100353029244918,324.9180107526882,315.0611556604277
2024-08-31,0.6793963391050937,0.7026329745301009,283.14516129032256,288.8220306080398
2024-09-30,0.6452150761544851,0.5727354015983696,274.7944444444445,257.0871631139066
2024-10-31,0.41888863764776674,0.4118775683764526,219.50134408602148,217.7884918032904
2024-11-30,0.1915847428051969,0.20711521402117253,163.96944444444443,167.76364502138256
2024-12-31,0.10864619730057004,0.0836210134598071,143.70698924731184,137.59316529141455
