data,ghi_real_normalizado,ghi_previsto_lstm_normalizado,ghi_real_wm2,ghi_previsto_lstm_wm2
2024-01-31,0.08520375013135136,0.4941021,137.9798387096774,237.87650621764521
2024-02-29,0.24303376443540078,0.49320158,176.53879310344828,237.65650619124614
2024-03-31,0.4744936161831558,0.49496236,233.08602150537632,238.0866770133176
2024-04-30,0.8274312759252871,0.49841487,319.31111111111113,238.9301487851688
2024-05-31,0.9546209019042792,0.5031983,350.38440860215053,240.09877879037174
2024-06-30,0.8776584107366884,0.5065105,331.58194444444445,240.90796474926577
2024-07-31,0.8503815105606546,0.507659,324.9180107526882,241.18855652241137
2024-08-31,0.6793963391050937,0.50772876,283.14516129032256,241.20559385567105
2024-09-30,0.6452150761544851,0.5062459,274.7944444444445,240.84332481564212
2024-10-31,0.41888863764776674,0.5046393,219.50134408602148,240.4508254304448
2024-11-30,0.1915847428051969,0.501602,163.96944444444443,239.7087840387818
2024-12-31,0.10864619730057004,0.4974625,143.70698924731184,238.69747997249968
