data,ghi_real_normalizado,ghi_previsto_persistencia_normalizado,ghi_real_wm2,ghi_previsto_persistencia_wm2
2024-01-31,0.08520375013135136,0.07129012682908582,137.9798387096774,134.58064516129033
2024-02-29,0.24303376443540078,0.08520375013135136,176.53879310344828,137.9798387096774
2024-03-31,0.4744936161831558,0.24303376443540078,233.08602150537632,176.53879310344828
2024-04-30,0.8274312759252871,0.4744936161831558,319.31111111111113,233.08602150537632
2024-05-31,0.9546209019042792,0.8274312759252871,350.38440860215053,319.31111111111113
2024-06-30,0.8776584107366884,0.9546209019042792,331.58194444444445,350.38440860215053
2024-07-31,0.8503815105606546,0.8776584107366884,324.9180107526882,331.58194444444445
2024-08-31,0.6793963391050937,0.8503815105606546,283.14516129032256,324.9180107526882
2024-09-30,0.6452150761544851,0.6793963391050937,274.7944444444445,283.14516129032256
2024-10-31,0.41888863764776674,0.6452150761544851,219.50134408602148,274.7944444444445
2024-11-30,0.1915847428051969,0.41888863764776674,163.96944444444443,219.50134408602148
2024-12-31,0.10864619730057004,0.1915847428051969,143.70698924731184,163.96944444444443
