data,ghi_real_normalizado,ghi_previsto_xgboost_normalizado,ghi_real_wm2,ghi_previsto_xgboost_wm2
2024-01-31,0.08520375013135136,0.10917622,137.9798387096774,143.83647706190587
2024-02-29,0.24303376443540078,0.29181615,176.53879310344828,188.4566631151103
2024-03-31,0.4744936161831558,0.45718226,233.08602150537632,228.85673812445535
2024-04-30,0.8274312759252871,0.78512967,319.31111111111113,308.976537915888
2024-05-31,0.9546209019042792,0.9389464,350.38440860215053,346.5550266719073
2024-06-30,0.8776584107366884,0.95165104,331.58194444444445,349.65885018441145
2024-07-31,0.8503815105606546,0.83322066,324.9180107526882,320.72549749357245
2024-08-31,0.6793963391050937,0.6856579,283.14516129032256,284.67490804718545
2024-09-30,0.6452150761544851,0.60110503,274.7944444444445,264.01805886471624
2024-10-31,0.41888863764776674,0.42199016,219.50134408602148,220.2590663223177
2024-11-30,0.1915847428051969,0.18714781,163.96944444444443,162.88547160346462
2024-12-31,0.10864619730057004,0.08483176,143.70698924731184,137.88895880785242
