data,ghi_real,ghi_real_normalizado,ghi_real_wm2,ghi_previsto_dilatedrnn_normalizado,ghi_previsto_dilatedrnn_wm2,ghi_previsto_deepar_exp_normalizado,ghi_previsto_deepar_exp_wm2,ghi_previsto_deepnpts_aprox_normalizado,ghi_previsto_deepnpts_aprox_wm2
2023-10-26,0.4881889763779528,0.4881889763779528,191.29166666666663,0.38241646,151.42999306817848,0.3900895,154.22426390647885,0.38021302,150.62757559617359
2023-10-27,0.4251968503937008,0.4251968503937008,167.83333333333334,0.43160433,169.34257530172664,0.38782284,153.3988163421551,0.3835013,151.8250535726547
2023-10-28,0.48031496062992124,0.48031496062992124,188.25,0.38490358,152.33572036524612,0.39521557,156.09100374579427,0.36917222,146.60688179731366
2023-10-29,0.4881889763779528,0.4881889763779528,190.16666666666663,0.41963047,164.98209539055821,0.39529768,156.12090379496414,0.41138607,161.97976145148274
2023-10-30,0.47244094488188976,0.47244094488188976,185.625,0.44187805,173.08392341434953,0.42173326,165.74786223967868,0.42102897,165.49138385057446
2023-10-31,0.3937007874015748,0.3937007874015748,156.75,0.42913473,168.44322957595188,0.4181004,164.42489088078338,0.426341,167.42584648728368
2023-11-01,0.4094488188976378,0.4094488188976378,161.41666666666666,0.40173325,158.46452499926087,0.40122575,158.2797090510527,0.41277438,162.48533818125722
2023-11-02,0.3779527559055118,0.3779527559055118,149.54166666666666,0.40589315,159.9794210294882,0.40255907,158.7652619729439,0.37837076,149.95668578147885
2023-11-03,0.4015748031496063,0.4015748031496063,159.45833333333334,0.36910537,146.58253849049407,0.38298446,151.63684063156444,0.37691078,149.42500755687553
2023-11-04,0.3779527559055118,0.3779527559055118,151.125,0.38190055,151.2421165704727,0.38836846,153.59751329322654,0.3612605,143.72570003569123
2023-11-05,0.30708661417322836,0.30708661417322836,123.91666666666669,0.36479154,145.011586651206,0.3840494,152.02465132375556,0.37219372,147.70721445977685
2023-11-06,0.15748031496062992,0.15748031496062992,69.375,0.3415819,136.55941253403822,0.37193856,147.61429096758363,0.35926378,142.99855905771253
